------------------------------------------------------------------------------
------------ AVIÓNICA COHETE SONDA ORIÓN UIS - Almacenamiento ----------------
Test: Cálculo altura - MS5611  |  Identificador: 02  |  Etapa de sensado
Autores: Juan Martin Vivas Camargo  |  Santiago Hernández Rincón
------------------------------------------------------------------------------
Contador -> Contador identificador.
Anterior -> Tiempo de muestra anterior.
Actual -> Tiempo de muestra actual.
Intervalo -> Intervalo - diferencia entre muestras.
Temperatura -> Lectura de Temperatura.
Presión -> Lectura de Presión.
Altura -> Lectura de Altura.
------------------------------------------------------------------------------------------------------
Contador________Anterior________Actual__________Intervalo_______Temperatura_____Presión_________Altura
------------------------------------------------------------------------------------------------------
0;		0;		6703;		6703;		19.64;		757.43;		-0.93
1371;		63009;		63052;		43;		19.60;		757.36;		-0.15
1372;		63052;		63095;		43;		19.60;		757.36;		-0.15
1373;		63095;		63138;		43;		19.60;		757.36;		-0.15
1374;		63138;		63181;		43;		19.60;		757.36;		-0.15
1375;		63181;		63232;		51;		19.60;		757.36;		-0.15
1376;		63232;		63303;		71;		19.60;		757.36;		-0.15
1377;		63303;		63346;		43;		19.60;		757.36;		-0.15
1378;		63346;		63389;		43;		19.60;		757.25;		1.07
1379;		63389;		63432;		43;		19.60;		757.36;		-0.15
1380;		63432;		63475;		43;		19.60;		757.25;		1.07
1381;		63475;		63518;		43;		19.60;		757.36;		-0.15
1382;		63518;		63561;		43;		19.60;		757.36;		-0.15
1383;		63561;		63604;		43;		19.60;		757.36;		-0.15
1384;		63604;		63647;		43;		19.60;		757.36;		-0.15
1385;		63647;		63698;		51;		19.60;		757.25;		1.07
1386;		63698;		63741;		43;		19.60;		757.36;		-0.15
1387;		63741;		63784;		43;		19.60;		757.25;		1.07
1388;		63784;		63827;		43;		19.60;		757.25;		1.07
1389;		63827;		63870;		43;		19.62;		757.28;		0.74
1390;		63870;		63913;		43;		19.60;		757.36;		-0.15
1391;		63913;		63956;		43;		19.60;		757.36;		-0.15
1392;		63956;		63999;		43;		19.60;		757.36;		-0.15
1393;		63999;		64072;		73;		19.60;		757.36;		-0.15
1394;		64072;		64115;		43;		19.60;		757.36;		-0.15
1395;		64115;		64166;		51;		19.60;		757.47;		-1.38
1396;		64166;		64209;		43;		19.60;		757.36;		-0.15
1397;		64209;		64252;		43;		19.60;		757.36;		-0.15
1398;		64252;		64295;		43;		19.62;		757.39;		-0.49
1399;		64295;		64338;		43;		19.60;		757.36;		-0.15
1400;		64338;		64381;		43;		19.60;		757.36;		-0.15
1401;		64381;		64424;		43;		19.60;		757.36;		-0.15
1402;		64424;		64467;		43;		19.62;		757.39;		-0.49
1403;		64467;		64510;		43;		19.60;		757.36;		-0.15
1404;		64510;		64553;		43;		19.60;		757.36;		-0.15
1405;		64553;		64604;		51;		19.60;		757.36;		-0.15
1406;		64604;		64647;		43;		19.60;		757.25;		1.07
1407;		64647;		64690;		43;		19.60;		757.25;		1.07
1408;		64690;		64733;		43;		19.60;		757.36;		-0.15
1409;		64733;		64793;		60;		19.60;		757.36;		-0.15
1410;		64793;		64862;		69;		19.60;		757.36;		-0.15
1411;		64862;		64905;		43;		19.60;		757.36;		-0.15
1412;		64905;		64948;		43;		19.60;		757.36;		-0.15
1413;		64948;		64991;		43;		19.60;		757.36;		-0.15
1414;		64991;		65034;		43;		19.60;		757.36;		-0.15
1415;		65034;		65085;		51;		19.60;		757.36;		-0.15
1416;		65085;		65128;		43;		19.60;		757.36;		-0.15
1417;		65128;		65171;		43;		19.60;		757.36;		-0.15
1418;		65171;		65214;		43;		19.60;		757.36;		-0.15
1419;		65214;		65257;		43;		19.60;		757.36;		-0.15
1420;		65257;		65300;		43;		19.60;		757.36;		-0.15
1421;		65300;		65343;		43;		19.60;		757.25;		1.07
1422;		65343;		65386;		43;		19.60;		757.36;		-0.15
1423;		65386;		65429;		43;		19.60;		757.36;		-0.15
1424;		65429;		65472;		43;		19.60;		757.47;		-1.38
1425;		65472;		65523;		51;		19.60;		757.47;		-1.38
1426;		65523;		65584;		61;		19.60;		757.25;		1.07
1427;		65584;		65639;		55;		19.60;		757.36;		-0.15
1428;		65639;		65682;		43;		19.60;		757.36;		-0.15
1429;		65682;		65725;		43;		19.60;		757.36;		-0.15
1430;		65725;		65768;		43;		19.60;		757.36;		-0.15
1431;		65768;		65811;		43;		19.60;		757.36;		-0.15
1432;		65811;		65854;		43;		19.60;		757.25;		1.07
1433;		65854;		65897;		43;		19.60;		757.36;		-0.15
1434;		65897;		65940;		43;		19.60;		757.36;		-0.15
1435;		65940;		65991;		51;		19.60;		757.36;		-0.15
1436;		65991;		66034;		43;		19.60;		757.36;		-0.15
1437;		66034;		66077;		43;		19.60;		757.36;		-0.15
1438;		66077;		66120;		43;		19.60;		757.25;		1.07
1439;		66120;		66163;		43;		19.60;		757.25;		1.07
1440;		66163;		66206;		43;		19.60;		757.36;		-0.15
1441;		66206;		66249;		43;		19.60;		757.36;		-0.15
1442;		66249;		66310;		61;		19.60;		757.36;		-0.15
1443;		66310;		66353;		43;		19.60;		757.47;		-1.38
1444;		66353;		66396;		43;		19.60;		757.36;		-0.15
1445;		66396;		66459;		63;		19.60;		757.36;		-0.15
1446;		66459;		66502;		43;		19.60;		757.36;		-0.15
1447;		66502;		66545;		43;		19.60;		757.36;		-0.15
1448;		66545;		66588;		43;		19.60;		757.36;		-0.15
1449;		66588;		66631;		43;		19.60;		757.36;		-0.15
1450;		66631;		66674;		43;		19.60;		757.36;		-0.15
1451;		66674;		66717;		43;		19.60;		757.47;		-1.38
1452;		66717;		66760;		43;		19.60;		757.25;		1.07
1453;		66760;		66803;		43;		19.60;		757.36;		-0.15
1454;		66803;		66876;		73;		19.60;		757.36;		-0.15
1455;		66876;		66919;		43;		19.60;		757.36;		-0.15
1456;		66919;		66962;		43;		19.60;		757.36;		-0.15
1457;		66962;		67005;		43;		19.60;		757.47;		-1.38
1458;		67005;		67048;		43;		19.60;		757.36;		-0.15
1459;		67048;		67108;		60;		19.60;		757.36;		-0.15
1460;		67108;		67151;		43;		19.60;		757.36;		-0.15
1461;		67151;		67194;		43;		19.60;		757.25;		1.07
1462;		67194;		67248;		54;		19.60;		757.36;		-0.15
1463;		67248;		67291;		43;		19.60;		757.36;		-0.15
1464;		67291;		67342;		51;		19.60;		757.47;		-1.38
1465;		67342;		67385;		43;		19.60;		757.47;		-1.38
1466;		67385;		67428;		43;		19.60;		757.36;		-0.15
1467;		67428;		67471;		43;		19.60;		757.47;		-1.38
1468;		67471;		67514;		43;		19.60;		757.36;		-0.15
1469;		67514;		67557;		43;		19.60;		757.25;		1.07
1470;		67557;		67600;		43;		19.60;		757.36;		-0.15
1471;		67600;		67643;		43;		19.60;		757.47;		-1.38
1472;		67643;		67686;		43;		19.60;		757.36;		-0.15
1473;		67686;		67729;		43;		19.60;		757.36;		-0.15
1474;		67729;		67780;		51;		19.60;		757.36;		-0.15
1475;		67780;		67840;		60;		19.60;		757.36;		-0.15
1476;		67840;		67883;		43;		19.60;		757.36;		-0.15
1477;		67883;		67926;		43;		19.60;		757.36;		-0.15
1478;		67926;		67969;		43;		19.60;		757.36;		-0.15
1479;		67969;		68023;		54;		19.60;		757.36;		-0.15
1480;		68023;		68066;		43;		19.59;		757.33;		0.18
1481;		68066;		68109;		43;		19.60;		757.36;		-0.15
1482;		68109;		68152;		43;		19.60;		757.36;		-0.15
1483;		68152;		68195;		43;		19.60;		757.36;		-0.15
1484;		68195;		68246;		51;		19.60;		757.25;		1.07
1485;		68246;		68289;		43;		19.60;		757.36;		-0.15
1486;		68289;		68332;		43;		19.60;		757.36;		-0.15
1487;		68332;		68375;		43;		19.60;		757.36;		-0.15
1488;		68375;		68418;		43;		19.60;		757.36;		-0.15
1489;		68418;		68461;		43;		19.60;		757.36;		-0.15
1490;		68461;		68504;		43;		19.60;		757.36;		-0.15
1491;		68504;		68547;		43;		19.60;		757.36;		-0.15
1492;		68547;		68608;		61;		19.60;		757.36;		-0.15
1493;		68608;		68651;		43;		19.59;		757.33;		0.18
1494;		68651;		68702;		51;		19.60;		757.47;		-1.38
1495;		68702;		68745;		43;		19.60;		757.36;		-0.15
1496;		68745;		68800;		55;		19.60;		757.36;		-0.15
1497;		68800;		68843;		43;		19.60;		757.36;		-0.15
1498;		68843;		68886;		43;		19.60;		757.25;		1.07
1499;		68886;		68929;		43;		19.59;		757.33;		0.18
1500;		68929;		68972;		43;		19.60;		757.36;		-0.15
1501;		68972;		69015;		43;		19.60;		757.36;		-0.15
1502;		69015;		69058;		43;		19.60;		757.36;		-0.15
1503;		69058;		69101;		43;		19.60;		757.36;		-0.15
1504;		69101;		69152;		51;		19.60;		757.36;		-0.15
1505;		69152;		69195;		43;		19.60;		757.36;		-0.15
1506;		69195;		69238;		43;		19.60;		757.25;		1.07
1507;		69238;		69281;		43;		19.60;		757.25;		1.07
1508;		69281;		69342;		61;		19.60;		757.36;		-0.15
1509;		69342;		69385;		43;		19.60;		757.47;		-1.38
1510;		69385;		69428;		43;		19.60;		757.25;		1.07
1511;		69428;		69471;		43;		19.60;		757.36;		-0.15
1512;		69471;		69514;		43;		19.60;		757.36;		-0.15
1513;		69514;		69569;		55;		19.60;		757.25;		1.07
1514;		69569;		69620;		51;		19.60;		757.36;		-0.15
1515;		69620;		69663;		43;		19.60;		757.36;		-0.15
1516;		69663;		69706;		43;		19.60;		757.25;		1.07
1517;		69706;		69749;		43;		19.60;		757.36;		-0.15
1518;		69749;		69792;		43;		19.60;		757.25;		1.07
1519;		69792;		69835;		43;		19.60;		757.47;		-1.38
1520;		69835;		69878;		43;		19.60;		757.36;		-0.15
1521;		69878;		69921;		43;		19.60;		757.36;		-0.15
1522;		69921;		69964;		43;		19.60;		757.36;		-0.15
1523;		69964;		70007;		43;		19.60;		757.36;		-0.15
1524;		70007;		70072;		65;		19.60;		757.36;		-0.15
1525;		70072;		70133;		61;		19.60;		757.36;		-0.15
1526;		70133;		70176;		43;		19.60;		757.25;		1.07
1527;		70176;		70219;		43;		19.60;		757.25;		1.07
1528;		70219;		70262;		43;		19.60;		757.36;		-0.15
1529;		70262;		70305;		43;		19.60;		757.25;		1.07
1530;		70305;		70359;		54;		19.60;		757.36;		-0.15
1531;		70359;		70402;		43;		19.60;		757.36;		-0.15
1532;		70402;		70445;		43;		19.60;		757.25;		1.07
1533;		70445;		70488;		43;		19.60;		757.36;		-0.15
1534;		70488;		70539;		51;		19.60;		757.36;		-0.15
1535;		70539;		70582;		43;		19.60;		757.36;		-0.15
1536;		70582;		70625;		43;		19.60;		757.36;		-0.15
1537;		70625;		70668;		43;		19.60;		757.36;		-0.15
1538;		70668;		70711;		43;		19.60;		757.36;		-0.15
1539;		70711;		70754;		43;		19.60;		757.25;		1.07
1540;		70754;		70797;		43;		19.60;		757.36;		-0.15
1541;		70797;		70857;		60;		19.60;		757.36;		-0.15
1542;		70857;		70900;		43;		19.60;		757.36;		-0.15
1543;		70900;		70951;		51;		19.60;		757.36;		-0.15
1544;		70951;		70994;		43;		19.60;		757.36;		-0.15
1545;		70994;		71037;		43;		19.60;		757.36;		-0.15
1546;		71037;		71080;		43;		19.60;		757.47;		-1.38
1547;		71080;		71135;		55;		19.60;		757.36;		-0.15
1548;		71135;		71178;		43;		19.60;		757.36;		-0.15
1549;		71178;		71221;		43;		19.60;		757.36;		-0.15
1550;		71221;		71264;		43;		19.60;		757.47;		-1.38
1551;		71264;		71307;		43;		19.60;		757.25;		1.07
1552;		71307;		71350;		43;		19.60;		757.36;		-0.15
1553;		71350;		71401;		51;		19.60;		757.36;		-0.15
1554;		71401;		71444;		43;		19.60;		757.36;		-0.15
1555;		71444;		71487;		43;		19.60;		757.36;		-0.15
1556;		71487;		71530;		43;		19.60;		757.36;		-0.15
1557;		71530;		71573;		43;		19.60;		757.36;		-0.15
1558;		71573;		71633;		60;		19.60;		757.36;		-0.15
1559;		71633;		71676;		43;		19.62;		757.39;		-0.49
1560;		71676;		71719;		43;		19.60;		757.36;		-0.15
1561;		71719;		71762;		43;		19.60;		757.25;		1.07
1562;		71762;		71805;		43;		19.60;		757.36;		-0.15
1563;		71805;		71856;		51;		19.60;		757.36;		-0.15
1564;		71856;		71911;		55;		19.60;		757.36;		-0.15
1565;		71911;		71954;		43;		19.60;		757.36;		-0.15
1566;		71954;		71997;		43;		19.60;		757.36;		-0.15
1567;		71997;		72040;		43;		19.60;		757.25;		1.07
1568;		72040;		72083;		43;		19.60;		757.36;		-0.15
1569;		72083;		72126;		43;		19.60;		757.25;		1.07
1570;		72126;		72169;		43;		19.60;		757.25;		1.07
1571;		72169;		72212;		43;		19.60;		757.36;		-0.15
1572;		72212;		72255;		43;		19.60;		757.25;		1.07
1573;		72255;		72306;		51;		19.62;		757.39;		-0.49
1574;		72306;		72367;		61;		19.62;		757.39;		-0.49
1575;		72367;		72410;		43;		19.60;		757.36;		-0.15
1576;		72410;		72453;		43;		19.60;		757.36;		-0.15
1577;		72453;		72496;		43;		19.60;		757.36;		-0.15
1578;		72496;		72539;		43;		19.60;		757.36;		-0.15
1579;		72539;		72582;		43;		19.62;		757.28;		0.74
1580;		72582;		72625;		43;		19.62;		757.39;		-0.49
1581;		72625;		72668;		43;		19.60;		757.36;		-0.15
1582;		72668;		72723;		55;		19.60;		757.36;		-0.15
1583;		72723;		72775;		52;		19.62;		757.39;		-0.49
1584;		72775;		72818;		43;		19.60;		757.36;		-0.15
1585;		72818;		72861;		43;		19.62;		757.28;		0.74
1586;		72861;		72904;		43;		19.62;		757.39;		-0.49
1587;		72904;		72947;		43;		19.62;		757.39;		-0.49
1588;		72947;		72990;		43;		19.62;		757.39;		-0.49
1589;		72990;		73033;		43;		19.60;		757.36;		-0.15
1590;		73033;		73076;		43;		19.60;		757.36;		-0.15
1591;		73076;		73153;		77;		19.60;		757.36;		-0.15
1592;		73153;		73196;		43;		19.60;		757.36;		-0.15
1593;		73196;		73247;		51;		19.62;		757.39;		-0.49
1594;		73247;		73290;		43;		19.62;		757.28;		0.74
1595;		73290;		73333;		43;		19.60;		757.36;		-0.15
1596;		73333;		73376;		43;		19.60;		757.36;		-0.15
1597;		73376;		73419;		43;		19.62;		757.28;		0.74
1598;		73419;		73462;		43;		19.62;		757.39;		-0.49
1599;		73462;		73516;		54;		19.60;		757.36;		-0.15
1600;		73516;		73559;		43;		19.60;		757.25;		1.07
1601;		73559;		73602;		43;		19.62;		757.39;		-0.49
1602;		73602;		73645;		43;		19.62;		757.39;		-0.49
1603;		73645;		73697;		52;		19.62;		757.50;		-1.71
1604;		73697;		73740;		43;		19.62;		757.39;		-0.49
1605;		73740;		73783;		43;		19.62;		757.28;		0.74
1606;		73783;		73826;		43;		19.60;		757.36;		-0.15
1607;		73826;		73887;		61;		19.60;		757.25;		1.07
1608;		73887;		73930;		43;		19.62;		757.39;		-0.49
1609;		73930;		73973;		43;		19.62;		757.28;		0.74
1610;		73973;		74016;		43;		19.60;		757.36;		-0.15
1611;		74016;		74059;		43;		19.60;		757.36;		-0.15
1612;		74059;		74102;		43;		19.60;		757.36;		-0.15
1613;		74102;		74152;		50;		19.62;		757.39;		-0.49
1614;		74152;		74195;		43;		19.60;		757.36;		-0.15
1615;		74195;		74238;		43;		19.60;		757.25;		1.07
1616;		74238;		74293;		55;		19.60;		757.25;		1.07
1617;		74293;		74336;		43;		19.60;		757.36;		-0.15
1618;		74336;		74379;		43;		19.60;		757.36;		-0.15
1619;		74379;		74422;		43;		19.62;		757.28;		0.74
1620;		74422;		74465;		43;		19.62;		757.28;		0.74
1621;		74465;		74508;		43;		19.62;		757.28;		0.74
1622;		74508;		74551;		43;		19.62;		757.39;		-0.49
1623;		74551;		74602;		51;		19.62;		757.39;		-0.49
1624;		74602;		74662;		60;		19.60;		757.25;		1.07
1625;		74662;		74705;		43;		19.62;		757.39;		-0.49
1626;		74705;		74748;		43;		19.62;		757.39;		-0.49
1627;		74748;		74791;		43;		19.60;		757.36;		-0.15
1628;		74791;		74834;		43;		19.60;		757.36;		-0.15
1629;		74834;		74877;		43;		19.62;		757.39;		-0.49
1630;		74877;		74920;		43;		19.62;		757.39;		-0.49
1631;		74920;		74963;		43;		19.62;		757.39;		-0.49
1632;		74963;		75014;		51;		19.62;		757.39;		-0.49
1633;		75014;		75069;		55;		19.62;		757.39;		-0.49
1634;		75069;		75112;		43;		19.60;		757.36;		-0.15
1635;		75112;		75155;		43;		19.60;		757.25;		1.07
1636;		75155;		75198;		43;		19.62;		757.39;		-0.49
1637;		75198;		75241;		43;		19.62;		757.28;		0.74
1638;		75241;		75284;		43;		19.60;		757.36;		-0.15
1639;		75284;		75327;		43;		19.62;		757.39;		-0.49
1640;		75327;		75388;		61;		19.60;		757.36;		-0.15
1641;		75388;		75431;		43;		19.62;		757.39;		-0.49
1642;		75431;		75482;		51;		19.62;		757.28;		0.74
1643;		75482;		75525;		43;		19.62;		757.39;		-0.49
1644;		75525;		75568;		43;		19.60;		757.36;		-0.15
1645;		75568;		75611;		43;		19.62;		757.28;		0.74
1646;		75611;		75654;		43;		19.62;		757.39;		-0.49
1647;		75654;		75697;		43;		19.62;		757.28;		0.74
1648;		75697;		75740;		43;		19.62;		757.28;		0.74
1649;		75740;		75783;		43;		19.60;		757.36;		-0.15
1650;		75783;		75826;		43;		19.62;		757.39;		-0.49
1651;		75826;		75881;		55;		19.62;		757.39;		-0.49
1652;		75881;		75932;		51;		19.62;		757.39;		-0.49
1653;		75932;		75975;		43;		19.62;		757.28;		0.74
1654;		75975;		76018;		43;		19.62;		757.39;		-0.49
1655;		76018;		76061;		43;		19.62;		757.39;		-0.49
1656;		76061;		76104;		43;		19.62;		757.28;		0.74
1657;		76104;		76164;		60;		19.62;		757.28;		0.74
1658;		76164;		76207;		43;		19.62;		757.28;		0.74
1659;		76207;		76250;		43;		19.62;		757.39;		-0.49
1660;		76250;		76293;		43;		19.62;		757.39;		-0.49
1661;		76293;		76336;		43;		19.62;		757.39;		-0.49
1662;		76336;		76387;		51;		19.62;		757.39;		-0.49
1663;		76387;		76430;		43;		19.62;		757.39;		-0.49
1664;		76430;		76473;		43;		19.62;		757.28;		0.74
1665;		76473;		76516;		43;		19.62;		757.39;		-0.49
1666;		76516;		76559;		43;		19.62;		757.28;		0.74
1667;		76559;		76602;		43;		19.62;		757.28;		0.74
1668;		76602;		76656;		54;		19.62;		757.39;		-0.49
1669;		76656;		76699;		43;		19.62;		757.28;		0.74
1670;		76699;		76742;		43;		19.60;		757.25;		1.07
1671;		76742;		76785;		43;		19.62;		757.39;		-0.49
1672;		76785;		76836;		51;		19.62;		757.28;		0.74
1673;		76836;		76896;		60;		19.62;		757.39;		-0.49
1674;		76896;		76939;		43;		19.62;		757.39;		-0.49
1675;		76939;		76982;		43;		19.62;		757.39;		-0.49
1676;		76982;		77025;		43;		19.62;		757.39;		-0.49
1677;		77025;		77068;		43;		19.62;		757.39;		-0.49
1678;		77068;		77111;		43;		19.62;		757.39;		-0.49
1679;		77111;		77154;		43;		19.62;		757.28;		0.74
1680;		77154;		77197;		43;		19.62;		757.39;		-0.49
1681;		77197;		77240;		43;		19.62;		757.39;		-0.49
1682;		77240;		77291;		51;		19.62;		757.39;		-0.49
1683;		77291;		77334;		43;		19.62;		757.39;		-0.49
1684;		77334;		77377;		43;		19.62;		757.39;		-0.49
1685;		77377;		77432;		55;		19.62;		757.39;		-0.49
1686;		77432;		77475;		43;		19.62;		757.28;		0.74
1687;		77475;		77518;		43;		19.62;		757.39;		-0.49
1688;		77518;		77561;		43;		19.64;		757.31;		0.40
1689;		77561;		77604;		43;		19.62;		757.39;		-0.49
1690;		77604;		77665;		61;		19.62;		757.28;		0.74
1691;		77665;		77708;		43;		19.62;		757.28;		0.74
1692;		77708;		77759;		51;		19.62;		757.39;		-0.49
1693;		77759;		77802;		43;		19.62;		757.39;		-0.49
1694;		77802;		77845;		43;		19.62;		757.28;		0.74
1695;		77845;		77888;		43;		19.62;		757.39;		-0.49
1696;		77888;		77931;		43;		19.62;		757.39;		-0.49
1697;		77931;		77974;		43;		19.62;		757.39;		-0.49
1698;		77974;		78017;		43;		19.62;		757.28;		0.74
1699;		78017;		78060;		43;		19.62;		757.39;		-0.49
1700;		78060;		78103;		43;		19.62;		757.28;		0.74
1701;		78103;		78146;		43;		19.62;		757.39;		-0.49
1702;		78146;		78208;		62;		19.62;		757.28;		0.74
1703;		78208;		78251;		43;		19.62;		757.39;		-0.49
1704;		78251;		78294;		43;		19.62;		757.39;		-0.49
1705;		78294;		78337;		43;		19.62;		757.28;		0.74
1706;		78337;		78397;		60;		19.62;		757.28;		0.74
1707;		78397;		78440;		43;		19.62;		757.39;		-0.49
1708;		78440;		78483;		43;		19.64;		757.31;		0.40
1709;		78483;		78526;		43;		19.62;		757.39;		-0.49
1710;		78526;		78569;		43;		19.62;		757.28;		0.74
1711;		78569;		78612;		43;		19.64;		757.31;		0.40
1712;		78612;		78686;		74;		19.62;		757.39;		-0.49
1713;		78686;		78729;		43;		19.62;		757.28;		0.74
1714;		78729;		78772;		43;		19.62;		757.39;		-0.49
1715;		78772;		78815;		43;		19.62;		757.39;		-0.49
1716;		78815;		78858;		43;		19.62;		757.39;		-0.49
1717;		78858;		78901;		43;		19.62;		757.28;		0.74
1718;		78901;		78944;		43;		19.62;		757.39;		-0.49
1719;		78944;		78999;		55;		19.62;		757.39;		-0.49
1720;		78999;		79042;		43;		19.62;		757.39;		-0.49
1721;		79042;		79085;		43;		19.62;		757.39;		-0.49
1722;		79085;		79136;		51;		19.62;		757.28;		0.74
1723;		79136;		79196;		60;		19.62;		757.39;		-0.49
1724;		79196;		79239;		43;		19.62;		757.39;		-0.49
1725;		79239;		79282;		43;		19.62;		757.28;		0.74
1726;		79282;		79325;		43;		19.62;		757.39;		-0.49
1727;		79325;		79368;		43;		19.62;		757.28;		0.74
1728;		79368;		79411;		43;		19.62;		757.39;		-0.49
1729;		79411;		79454;		43;		19.62;		757.39;		-0.49
1730;		79454;		79497;		43;		19.62;		757.28;		0.74
1731;		79497;		79540;		43;		19.62;		757.39;		-0.49
1732;		79540;		79591;		51;		19.62;		757.39;		-0.49
1733;		79591;		79634;		43;		19.64;		757.43;		-0.93
1734;		79634;		79677;		43;		19.62;		757.28;		0.74
1735;		79677;		79720;		43;		19.62;		757.28;		0.74
1736;		79720;		79775;		55;		19.62;		757.39;		-0.49
1737;		79775;		79818;		43;		19.62;		757.28;		0.74
1738;		79818;		79861;		43;		19.62;		757.28;		0.74
1739;		79861;		79922;		61;		19.62;		757.39;		-0.49
1740;		79922;		79965;		43;		19.62;		757.28;		0.74
1741;		79965;		80008;		43;		19.62;		757.28;		0.74
1742;		80008;		80047;		39;		19.62;		757.28;		0.74
1743;		80047;		80090;		43;		19.62;		757.39;		-0.49
1744;		80090;		80133;		43;		19.62;		757.39;		-0.49
1745;		80133;		80176;		43;		19.62;		757.28;		0.74
1746;		80176;		80219;		43;		19.62;		757.39;		-0.49
1747;		80219;		80262;		43;		19.62;		757.28;		0.74
1748;		80262;		80305;		43;		19.62;		757.39;		-0.49
1749;		80305;		80348;		43;		19.62;		757.28;		0.74
1750;		80348;		80391;		43;		19.62;		757.39;		-0.49
1751;		80391;		80442;		51;		19.62;		757.39;		-0.49
1752;		80442;		80485;		43;		19.64;		757.31;		0.40
1753;		80485;		80528;		43;		19.62;		757.28;		0.74
1754;		80528;		80583;		55;		19.62;		757.28;		0.74
1755;		80583;		80626;		43;		19.62;		757.28;		0.74
1756;		80626;		80687;		61;		19.62;		757.39;		-0.49
1757;		80687;		80730;		43;		19.62;		757.39;		-0.49
1758;		80730;		80773;		43;		19.64;		757.31;		0.40
1759;		80773;		80816;		43;		19.62;		757.39;		-0.49
1760;		80816;		80859;		43;		19.62;		757.28;		0.74
1761;		80859;		80910;		51;		19.62;		757.39;		-0.49
1762;		80910;		80953;		43;		19.62;		757.28;		0.74
1763;		80953;		80996;		43;		19.64;		757.43;		-0.93
1764;		80996;		81039;		43;		19.62;		757.39;		-0.49
1765;		81039;		81082;		43;		19.62;		757.39;		-0.49
1766;		81082;		81125;		43;		19.62;		757.39;		-0.49
1767;		81125;		81168;		43;		19.62;		757.28;		0.74
1768;		81168;		81211;		43;		19.62;		757.39;		-0.49
1769;		81211;		81254;		43;		19.62;		757.39;		-0.49
1770;		81254;		81297;		43;		19.64;		757.43;		-0.93
1771;		81297;		81359;		62;		19.62;		757.39;		-0.49
1772;		81359;		81402;		43;		19.62;		757.39;		-0.49
1773;		81402;		81480;		78;		19.62;		757.39;		-0.49
1774;		81480;		81523;		43;		19.62;		757.28;		0.74
1775;		81523;		81566;		43;		19.64;		757.31;		0.40
1776;		81566;		81609;		43;		19.62;		757.39;		-0.49
1777;		81609;		81652;		43;		19.64;		757.43;		-0.93
1778;		81652;		81695;		43;		19.62;		757.50;		-1.71
1779;		81695;		81738;		43;		19.64;		757.31;		0.40
1780;		81738;		81781;		43;		19.64;		757.43;		-0.93
1781;		81781;		81832;		51;		19.64;		757.31;		0.40
1782;		81832;		81875;		43;		19.62;		757.28;		0.74
1783;		81875;		81918;		43;		19.64;		757.31;		0.40
1784;		81918;		81961;		43;		19.62;		757.39;		-0.49
1785;		81961;		82004;		43;		19.64;		757.43;		-0.93
1786;		82004;		82047;		43;		19.64;		757.20;		1.63
1787;		82047;		82090;		43;		19.64;		757.31;		0.40
1788;		82090;		82145;		55;		19.62;		757.28;		0.74
1789;		82145;		82206;		61;		19.64;		757.43;		-0.93
1790;		82206;		82249;		43;		19.64;		757.31;		0.40
1791;		82249;		82300;		51;		19.64;		757.31;		0.40
1792;		82300;		82343;		43;		19.64;		757.31;		0.40
1793;		82343;		82386;		43;		19.64;		757.31;		0.40
1794;		82386;		82429;		43;		19.64;		757.31;		0.40
1795;		82429;		82472;		43;		19.64;		757.43;		-0.93
1796;		82472;		82515;		43;		19.62;		757.28;		0.74
1797;		82515;		82558;		43;		19.62;		757.39;		-0.49
1798;		82558;		82601;		43;		19.62;		757.39;		-0.49
1799;		82601;		82644;		43;		19.62;		757.28;		0.74
1800;		82644;		82687;		43;		19.62;		757.39;		-0.49
1801;		82687;		82738;		51;		19.64;		757.43;		-0.93
1802;		82738;		82781;		43;		19.62;		757.39;		-0.49
1803;		82781;		82824;		43;		19.64;		757.31;		0.40
1804;		82824;		82867;		43;		19.64;		757.31;		0.40
1805;		82867;		82921;		54;		19.62;		757.28;		0.74
1806;		82921;		82981;		60;		19.64;		757.31;		0.40
1807;		82981;		83024;		43;		19.62;		757.39;		-0.49
1808;		83024;		83067;		43;		19.64;		757.43;		-0.93
1809;		83067;		83110;		43;		19.64;		757.31;		0.40
1810;		83110;		83153;		43;		19.62;		757.28;		0.74
1811;		83153;		83204;		51;		19.64;		757.43;		-0.93
1812;		83204;		83247;		43;		19.64;		757.31;		0.40
1813;		83247;		83290;		43;		19.64;		757.43;		-0.93
1814;		83290;		83333;		43;		19.64;		757.31;		0.40
1815;		83333;		83376;		43;		19.64;		757.31;		0.40
1816;		83376;		83419;		43;		19.64;		757.31;		0.40
1817;		83419;		83462;		43;		19.64;		757.31;		0.40
1818;		83462;		83505;		43;		19.64;		757.31;		0.40
1819;		83505;		83548;		43;		19.64;		757.43;		-0.93
1820;		83548;		83591;		43;		19.62;		757.28;		0.74
1821;		83591;		83643;		52;		19.64;		757.31;		0.40
1822;		83643;		83715;		72;		19.64;		757.43;		-0.93
1823;		83715;		83758;		43;		19.62;		757.39;		-0.49
1824;		83758;		83801;		43;		19.64;		757.43;		-0.93
1825;		83801;		83844;		43;		19.64;		757.31;		0.40
1826;		83844;		83887;		43;		19.64;		757.31;		0.40
1827;		83887;		83930;		43;		19.64;		757.31;		0.40
1828;		83930;		83973;		43;		19.64;		757.31;		0.40
1829;		83973;		84016;		43;		19.64;		757.31;		0.40
