Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
224;	31773;	31901;	128;	9.63;	-1.35;	-0.46;	-0.62;	-2.56;	-0.25;	-0.62;	-2.56;	-0.25
225;	31901;	32029;	128;	9.62;	-1.35;	-0.43;	0.13;	-1.31;	0.00;	0.13;	-1.31;	0.00
226;	32029;	32158;	129;	9.65;	-1.38;	-0.48;	0.13;	-1.37;	0.00;	0.13;	-1.37;	0.00
227;	32158;	32294;	136;	9.61;	-1.37;	-0.30;	0.19;	2.94;	0.25;	0.19;	2.94;	0.25
228;	32294;	32422;	128;	9.63;	-1.36;	-0.38;	-0.06;	3.87;	0.25;	-0.06;	3.87;	0.25
229;	32422;	32550;	128;	9.63;	-1.39;	-0.26;	0.37;	5.56;	0.50;	0.44;	5.87;	0.31
230;	32550;	32680;	130;	9.59;	-1.31;	-0.05;	0.00;	20.75;	-0.06;	-0.75;	19.62;	0.37
231;	32680;	32810;	130;	10.00;	-0.98;	0.94;	2.19;	14.25;	-12.81;	2.19;	14.25;	-12.81
232;	32810;	32938;	128;	10.49;	-0.85;	0.17;	-17.94;	1.25;	-38.00;	-17.94;	1.25;	-38.00
233;	32938;	33076;	138;	9.36;	0.93;	1.04;	-28.38;	11.50;	-102.81;	-28.38;	11.50;	-102.81
234;	33076;	33215;	139;	8.46;	2.46;	1.05;	-17.81;	18.87;	-60.19;	-17.81;	18.87;	-60.19
235;	33215;	33343;	128;	8.69;	3.46;	1.23;	-33.50;	3.25;	-89.31;	-29.50;	5.56;	-90.31
236;	33343;	33472;	129;	7.10;	5.06;	1.49;	-25.37;	5.62;	-78.37;	-25.37;	5.62;	-78.37
237;	33472;	33600;	128;	5.54;	5.54;	2.73;	-29.00;	38.31;	-90.12;	-29.00;	38.31;	-90.12
238;	33600;	33730;	130;	3.93;	6.35;	2.47;	-34.13;	27.06;	-111.44;	-34.13;	27.06;	-111.44
239;	33730;	33885;	155;	-0.21;	6.58;	6.39;	38.50;	29.31;	-128.38;	75.44;	23.19;	-123.69
240;	33885;	34014;	129;	-0.52;	7.98;	2.94;	-11.56;	-0.37;	-100.94;	-11.56;	-0.37;	-100.94
241;	34014;	34142;	128;	-3.19;	7.19;	1.43;	3.19;	-3.44;	-132.56;	3.19;	-3.44;	-132.56
242;	34142;	34272;	130;	-5.90;	5.59;	2.13;	40.31;	12.63;	-130.63;	40.31;	12.63;	-130.63
243;	34272;	34400;	128;	-8.14;	4.31;	1.45;	1.94;	10.63;	-91.44;	1.94;	10.63;	-91.44
244;	34400;	34528;	128;	-9.46;	2.98;	2.02;	6.37;	24.75;	-86.44;	6.37;	24.75;	-86.44
245;	34528;	34664;	136;	-10.40;	0.61;	3.32;	4.19;	23.50;	-139.31;	4.19;	23.50;	-139.31
246;	34664;	34792;	128;	-10.15;	-0.70;	1.18;	28.69;	4.25;	-44.00;	28.69;	4.25;	-44.00
247;	34792;	34920;	128;	-9.14;	-1.71;	1.40;	-1.75;	1.31;	14.81;	-1.06;	2.00;	13.44
248;	34920;	35048;	128;	-9.39;	-1.54;	0.93;	-2.81;	2.06;	3.62;	-5.25;	1.81;	4.50
249;	35048;	35178;	130;	-9.38;	-1.15;	0.94;	-29.31;	2.06;	4.94;	-29.31;	2.06;	4.94
250;	35178;	35306;	128;	-9.56;	-1.58;	0.65;	-74.25;	15.94;	-6.12;	-74.25;	15.94;	-6.12
251;	35306;	35489;	183;	-9.84;	-2.11;	1.24;	-4.12;	5.69;	-2.00;	-4.12;	5.69;	-2.00
252;	35489;	35619;	130;	-9.59;	-1.70;	0.62;	-13.19;	13.38;	-4.50;	-13.19;	13.38;	-4.50
253;	35619;	35747;	128;	-9.61;	-1.75;	0.30;	-20.44;	7.87;	10.31;	-20.44;	7.87;	10.31
254;	35747;	35876;	129;	-9.13;	-1.04;	0.95;	-11.25;	14.38;	2.56;	-11.25;	14.38;	2.56
255;	35876;	36004;	128;	-9.64;	-1.82;	-0.81;	-1.06;	-2.87;	-33.00;	-1.06;	-2.87;	-33.00
256;	36004;	36150;	146;	-11.38;	-3.80;	1.64;	-30.62;	-17.00;	-39.44;	-30.62;	-17.00;	-39.44
257;	36150;	36289;	139;	-9.46;	-2.66;	0.01;	-1.44;	3.50;	-15.81;	-1.44;	3.50;	-15.81
258;	36289;	36418;	129;	-9.37;	-3.69;	0.18;	11.75;	13.88;	-34.88;	11.75;	13.88;	-34.88
259;	36418;	36546;	128;	-9.03;	-4.97;	-0.03;	46.63;	9.63;	-48.06;	46.63;	9.63;	-48.06
260;	36546;	36675;	129;	-8.18;	-6.02;	0.46;	45.69;	5.00;	-95.31;	45.69;	5.00;	-95.31
261;	36675;	36803;	128;	-7.04;	-8.14;	1.03;	21.00;	11.38;	-109.19;	21.00;	11.38;	-109.19
262;	36803;	36934;	131;	-4.73;	-8.92;	0.90;	33.06;	-10.88;	-142.13;	33.06;	-10.88;	-142.13
263;	36934;	37070;	136;	-2.79;	-9.50;	0.08;	-77.56;	3.56;	-115.75;	-77.56;	3.56;	-115.75
264;	37070;	37198;	128;	-1.13;	-10.20;	0.37;	0.13;	8.44;	-27.87;	0.13;	8.44;	-27.87
265;	37198;	37327;	129;	-0.50;	-11.03;	-0.80;	2.50;	8.44;	-33.94;	2.50;	8.44;	-33.94
266;	37327;	37455;	128;	0.10;	-10.43;	-0.37;	-0.69;	-1.06;	-0.81;	-0.69;	-1.06;	-0.81
267;	37455;	37586;	131;	1.57;	-13.52;	-0.27;	-1.19;	-9.13;	39.75;	-1.19;	-9.13;	39.75
268;	37586;	37734;	148;	-0.25;	-10.58;	-0.17;	-2.69;	-0.62;	0.19;	-2.69;	-0.62;	0.19
269;	37734;	37862;	128;	-0.20;	-10.50;	0.09;	-9.69;	0.25;	-0.06;	-9.69;	0.25;	-0.06
270;	37862;	37990;	128;	-0.27;	-10.49;	-0.39;	-9.63;	0.25;	0.06;	-9.63;	0.25;	0.06
271;	37990;	38118;	128;	-0.25;	-10.55;	-0.36;	20.12;	0.13;	-0.13;	20.12;	0.13;	-0.13
272;	38118;	38267;	149;	-1.04;	-10.93;	-3.30;	-31.87;	-29.19;	49.06;	-31.87;	-29.19;	49.06
273;	38267;	38397;	130;	-2.15;	-9.08;	-6.99;	-128.12;	-2.75;	-0.37;	-128.12;	-2.75;	-0.37
274;	38397;	38535;	138;	-1.90;	-7.71;	-7.31;	-108.81;	33.31;	9.38;	-108.81;	33.31;	9.38
275;	38535;	38663;	128;	-0.89;	-6.98;	-7.37;	-90.06;	9.13;	7.94;	-90.06;	9.13;	7.94
276;	38663;	38792;	129;	-0.29;	-4.00;	-8.38;	-223.69;	3.25;	-5.69;	-223.69;	3.25;	-5.69
277;	38792;	38920;	128;	-1.07;	-1.40;	-10.44;	-45.00;	25.12;	-5.50;	-45.00;	25.12;	-5.50
278;	38920;	39051;	131;	0.07;	0.90;	-9.97;	-164.75;	32.13;	1.25;	-164.75;	32.13;	1.25
279;	39051;	39182;	131;	0.08;	3.89;	-7.92;	-138.75;	17.56;	-4.31;	-138.75;	17.56;	-4.31
280;	39182;	39318;	136;	0.12;	4.85;	-6.71;	-26.75;	-22.62;	-21.12;	-26.75;	-22.62;	-21.12
281;	39318;	39446;	128;	-0.17;	7.01;	-6.51;	-135.88;	-1.56;	8.31;	-132.31;	2.44;	7.81
282;	39446;	39574;	128;	-0.43;	6.56;	-4.34;	-76.06;	-0.31;	6.37;	-79.37;	-7.06;	2.44
283;	39574;	39704;	130;	0.09;	8.71;	-0.83;	-97.19;	-30.56;	-15.75;	-76.19;	-32.69;	-13.13
284;	39704;	39845;	141;	-0.37;	7.77;	2.58;	-68.00;	-16.06;	6.56;	-68.00;	-16.06;	6.56
285;	39845;	39973;	128;	-1.30;	7.44;	2.90;	-85.69;	1.31;	4.94;	-85.69;	1.31;	4.94
286;	39973;	40112;	139;	-0.68;	5.22;	6.22;	-151.25;	17.19;	-2.31;	-151.25;	17.19;	-2.31
287;	40112;	40241;	129;	-2.43;	4.44;	7.86;	-136.25;	7.44;	3.25;	-136.25;	7.44;	3.25
288;	40241;	40369;	128;	-1.34;	2.49;	8.72;	-106.94;	24.00;	10.63;	-106.94;	24.00;	10.63
289;	40369;	40516;	147;	-0.47;	0.09;	8.62;	-69.19;	-27.19;	11.63;	-69.19;	-27.19;	11.63
290;	40516;	40647;	131;	-0.09;	-3.39;	9.93;	-83.25;	64.69;	29.44;	-83.25;	64.69;	29.44
291;	40647;	40775;	128;	-6.11;	-3.41;	10.01;	-28.38;	164.88;	38.94;	-28.38;	164.88;	38.94
292;	40775;	40913;	138;	-6.75;	-3.07;	5.07;	-137.00;	131.69;	46.37;	-137.00;	131.69;	46.37
293;	40913;	41041;	128;	-7.55;	-6.50;	5.40;	-115.25;	115.06;	22.75;	-89.13;	103.38;	14.13
294;	41041;	41169;	128;	-9.06;	-5.70;	2.11;	-87.31;	100.87;	6.56;	-96.44;	101.12;	10.44
295;	41169;	41299;	130;	-7.81;	-4.80;	-2.48;	-108.31;	125.56;	3.12;	-108.31;	125.56;	3.12
296;	41299;	41427;	128;	-8.16;	-5.55;	-3.76;	-75.69;	86.63;	-42.81;	-75.69;	86.63;	-42.81
297;	41427;	41565;	138;	-6.08;	-4.87;	-6.11;	-47.50;	52.06;	-58.44;	-47.50;	52.06;	-58.44
298;	41565;	41693;	128;	-4.07;	-4.68;	-7.40;	-132.56;	52.75;	-93.06;	-132.56;	52.75;	-93.06
299;	41693;	41821;	128;	-4.18;	-3.90;	-8.64;	-56.19;	53.38;	-110.31;	-56.19;	53.38;	-110.31
300;	41821;	41951;	130;	0.25;	-2.65;	-10.42;	-24.50;	130.37;	-54.38;	-24.50;	130.37;	-54.38
301;	41951;	42107;	156;	5.82;	-0.01;	-8.83;	23.12;	153.56;	10.06;	23.12;	153.56;	10.06
302;	42107;	42235;	128;	7.75;	-1.00;	-6.66;	-33.44;	209.37;	-10.94;	-33.44;	209.37;	-10.94
303;	42235;	42372;	137;	11.06;	-0.93;	-2.50;	-47.81;	175.12;	-14.25;	-47.81;	175.12;	-14.25
304;	42372;	42503;	131;	8.89;	0.49;	-0.24;	-147.75;	137.50;	-57.31;	-147.75;	137.50;	-57.31
305;	42503;	42649;	146;	9.15;	0.92;	1.83;	-73.31;	84.31;	-89.62;	-73.31;	84.31;	-89.62
306;	42649;	42777;	128;	7.01;	0.29;	9.86;	-86.00;	166.19;	-99.94;	-86.00;	166.19;	-99.94
307;	42777;	42906;	129;	3.80;	0.69;	7.11;	-63.56;	211.87;	-107.87;	-63.56;	211.87;	-107.87
308;	42906;	43034;	128;	0.62;	-0.78;	8.87;	-20.00;	150.94;	-94.25;	-20.00;	150.94;	-94.25
309;	43034;	43173;	139;	-1.08;	-2.88;	9.97;	-96.69;	26.69;	-126.56;	-96.69;	26.69;	-126.56
310;	43173;	43302;	129;	0.63;	-7.36;	5.92;	-253.25;	-43.87;	-183.19;	-253.25;	-43.87;	-183.19
311;	43302;	43430;	128;	0.22;	-15.42;	10.31;	62.44;	-44.44;	-31.75;	62.44;	-44.44;	-31.75
312;	43430;	43558;	128;	1.98;	-8.60;	6.27;	-147.19;	-36.81;	-7.06;	-147.19;	-36.81;	-7.06
313;	43558;	43686;	128;	-0.62;	-4.15;	2.47;	-160.37;	34.63;	11.88;	-160.37;	34.63;	11.88
314;	43686;	43826;	140;	-0.13;	-6.78;	4.15;	201.62;	-75.31;	-179.06;	201.62;	-75.31;	-179.06
315;	43826;	43957;	131;	9.96;	-4.60;	2.16;	21.75;	-149.87;	-216.06;	21.75;	-149.87;	-216.06
316;	43957;	44085;	128;	11.48;	1.34;	0.05;	169.69;	-14.06;	-275.69;	169.69;	-14.06;	-275.69
317;	44085;	44224;	139;	3.58;	6.50;	4.44;	-7.37;	251.37;	-223.13;	-7.37;	251.37;	-223.13
318;	44224;	44352;	128;	-3.58;	4.09;	11.59;	-156.87;	418.69;	-9.88;	-156.87;	418.69;	-9.88
319;	44352;	44480;	128;	-7.14;	0.28;	12.15;	-168.37;	299.62;	68.94;	-168.37;	299.62;	68.94
320;	44480;	44619;	139;	-9.47;	-4.43;	6.45;	-226.25;	232.94;	53.75;	-226.25;	232.94;	53.75
321;	44619;	44750;	131;	-6.92;	1.27;	1.04;	-70.12;	77.44;	143.06;	-70.12;	77.44;	143.06
322;	44750;	44894;	144;	-4.27;	7.35;	-2.10;	218.56;	-16.37;	220.19;	218.56;	-16.37;	220.19
323;	44894;	45023;	129;	-0.88;	6.24;	-2.83;	-169.19;	-0.37;	134.25;	-187.44;	-7.62;	121.00
324;	45023;	45153;	130;	0.37;	9.31;	1.84;	-133.44;	-130.81;	86.31;	-133.44;	-130.81;	86.31
325;	45153;	45289;	136;	3.03;	6.62;	4.92;	-224.69;	-163.62;	16.75;	-224.69;	-163.62;	16.75
326;	45289;	45417;	128;	5.28;	3.02;	4.18;	-113.94;	-253.56;	31.31;	-113.94;	-253.56;	31.31
327;	45417;	45545;	128;	4.94;	2.65;	3.30;	-141.81;	-153.75;	29.00;	-153.44;	-150.38;	26.62
328;	45545;	45675;	130;	7.61;	3.56;	4.36;	-256.81;	-50.81;	-143.00;	-257.69;	-35.69;	-152.00
329;	45675;	45805;	130;	4.57;	1.76;	3.49;	-204.44;	73.87;	-159.12;	-204.44;	73.87;	-159.12
330;	45805;	45933;	128;	3.23;	-1.96;	13.12;	-57.44;	162.44;	68.87;	-57.44;	162.44;	68.87
331;	45933;	46116;	183;	-0.40;	-1.79;	11.53;	-35.25;	108.25;	70.50;	-35.25;	108.25;	70.50
332;	46116;	46244;	128;	-1.55;	-0.47;	7.01;	16.00;	128.69;	8.00;	16.00;	128.69;	8.00
333;	46244;	46374;	130;	-5.88;	-0.74;	6.31;	-7.06;	191.56;	2.44;	-7.06;	191.56;	2.44
334;	46374;	46514;	140;	-8.69;	-1.22;	4.36;	-41.75;	183.06;	-7.56;	-41.75;	183.06;	-7.56
335;	46514;	46642;	128;	-9.76;	-1.13;	0.43;	12.44;	98.69;	35.38;	12.44;	98.69;	35.38
336;	46642;	46770;	128;	-8.23;	-1.19;	-0.24;	-24.56;	-9.50;	-10.00;	-24.56;	-9.50;	-10.00
337;	46770;	46906;	136;	-10.94;	0.83;	0.76;	53.00;	0.13;	4.62;	53.00;	0.13;	4.62
338;	46906;	47050;	144;	-10.17;	-1.76;	0.45;	-0.19;	36.75;	-26.12;	3.25;	36.44;	-23.12
339;	47050;	47180;	130;	-9.89;	-2.48;	-0.44;	16.56;	18.94;	-26.00;	4.62;	20.75;	-20.06
340;	47180;	47310;	130;	-9.47;	-2.25;	-0.24;	0.62;	1.87;	-2.50;	0.62;	1.87;	-2.50
341;	47310;	47438;	128;	-9.39;	-2.25;	-0.34;	10.19;	11.56;	-6.69;	10.19;	11.56;	-6.69
342;	47438;	47568;	130;	-9.47;	-2.72;	-0.90;	23.44;	10.81;	-7.25;	23.44;	10.81;	-7.25
343;	47568;	47704;	136;	-9.44;	-2.85;	-0.99;	16.87;	4.81;	0.69;	16.87;	4.81;	0.69
344;	47704;	47833;	129;	-9.36;	-2.45;	-0.89;	2.37;	-0.94;	8.56;	1.56;	-0.81;	7.81
345;	47833;	47963;	130;	-9.46;	-2.61;	-0.86;	-18.94;	-5.12;	7.62;	-18.94;	-5.12;	7.62
346;	47963;	48091;	128;	-9.46;	-2.19;	-0.64;	-15.44;	-11.88;	14.69;	-15.44;	-11.88;	14.69
347;	48091;	48221;	130;	-9.18;	-1.43;	0.14;	-14.56;	-6.44;	4.12;	-14.56;	-6.44;	4.12
348;	48221;	48349;	128;	-9.53;	-1.93;	-0.50;	-0.37;	2.62;	-0.25;	-0.37;	2.62;	-0.25
349;	48349;	48485;	136;	-9.48;	-1.92;	-0.39;	0.19;	-1.12;	-1.56;	1.25;	-1.31;	-1.56
350;	48485;	48625;	140;	-9.67;	-2.39;	1.10;	-41.75;	-28.19;	-1.37;	-41.75;	-28.19;	-1.37
351;	48625;	48753;	128;	-11.88;	-1.30;	3.54;	15.13;	-80.38;	10.94;	15.13;	-80.38;	10.94
352;	48753;	48883;	130;	-9.06;	-0.91;	3.46;	29.50;	-130.56;	43.50;	29.50;	-130.56;	43.50
353;	48883;	49013;	130;	-6.12;	-1.57;	4.38;	34.06;	-173.31;	28.12;	34.06;	-173.31;	28.12
354;	49013;	49149;	136;	-3.61;	-0.62;	8.99;	-74.44;	-300.38;	-2.37;	-74.44;	-300.38;	-2.37
355;	49149;	49295;	146;	1.53;	-1.19;	6.98;	-32.25;	-294.94;	-26.56;	-32.25;	-294.94;	-26.56
356;	49295;	49425;	130;	7.43;	-0.10;	3.40;	30.81;	-179.63;	5.56;	30.81;	-179.63;	5.56
357;	49425;	49553;	128;	9.61;	0.05;	3.56;	107.94;	-88.44;	0.88;	107.94;	-88.44;	0.88
358;	49553;	49681;	128;	8.82;	-0.27;	0.20;	38.25;	-45.75;	13.50;	26.12;	-36.44;	11.25
359;	49681;	49809;	128;	10.71;	-0.77;	0.92;	30.06;	-28.81;	-1.37;	32.81;	-31.94;	0.94
360;	49809;	49947;	138;	9.58;	-0.71;	-0.45;	-7.25;	-14.13;	3.37;	-7.25;	-14.13;	3.37
361;	49947;	50076;	129;	9.67;	-0.57;	-0.17;	-3.62;	-7.75;	-0.88;	-3.62;	-7.75;	-0.88
362;	50076;	50204;	128;	9.72;	-0.79;	-0.71;	0.56;	0.69;	-3.00;	0.56;	0.69;	-3.00
363;	50204;	50332;	128;	9.73;	-0.60;	-0.33;	-2.19;	9.06;	-3.69;	-2.19;	9.06;	-3.69
364;	50332;	50460;	128;	9.56;	-0.38;	0.17;	-0.13;	5.37;	-2.69;	-0.13;	5.37;	-2.69
365;	50460;	50591;	131;	9.60;	-0.40;	0.10;	1.75;	1.00;	0.69;	1.75;	1.00;	0.69
366;	50591;	50729;	138;	9.64;	-0.43;	-0.09;	1.50;	1.12;	-0.75;	1.50;	1.12;	-0.75
367;	50729;	50867;	138;	9.59;	-0.44;	-0.04;	0.81;	0.44;	-0.37;	0.81;	0.44;	-0.37
368;	50867;	50995;	128;	9.62;	-0.43;	0.00;	-0.81;	2.25;	-0.44;	-0.81;	2.25;	-0.44
369;	50995;	51124;	129;	9.59;	-0.36;	0.09;	1.00;	2.19;	-0.31;	1.00;	2.19;	-0.31
370;	51124;	51252;	128;	9.63;	-0.45;	0.05;	-1.37;	2.06;	-0.62;	-1.37;	2.06;	-0.62
371;	51252;	51400;	148;	9.61;	-0.44;	0.09;	-0.31;	0.94;	0.00;	-0.31;	0.94;	0.00
372;	51400;	51528;	128;	9.61;	-0.37;	0.18;	0.00;	0.75;	0.81;	0.00;	0.75;	0.81
373;	51528;	51652;	124;	9.63;	-0.46;	0.09;	0.06;	1.94;	-0.06;	0.06;	1.94;	-0.06
374;	51652;	51781;	129;	9.59;	-0.30;	0.19;	-0.62;	6.12;	0.00;	-0.62;	6.12;	0.00
375;	51781;	51909;	128;	11.24;	0.44;	0.16;	-1.87;	26.56;	4.81;	-1.87;	26.56;	4.81
376;	51909;	52037;	128;	9.42;	-1.53;	0.02;	39.75;	99.56;	-57.31;	39.75;	99.56;	-57.31
377;	52037;	52165;	128;	8.09;	1.01;	4.31;	13.88;	143.56;	-74.31;	13.88;	143.56;	-74.31
378;	52165;	52296;	131;	5.23;	2.22;	5.43;	194.19;	170.94;	-96.50;	194.19;	170.94;	-96.50
379;	52296;	52435;	139;	1.40;	5.87;	1.82;	142.94;	96.44;	-103.31;	142.94;	96.44;	-103.31
380;	52435;	52563;	128;	-0.06;	10.28;	0.04;	183.12;	79.75;	-84.00;	183.12;	79.75;	-84.00
381;	52563;	52691;	128;	-0.88;	8.25;	-3.60;	14.06;	-12.94;	-39.38;	14.06;	-12.94;	-39.38
382;	52691;	52819;	128;	-0.79;	7.72;	-0.97;	-47.56;	-1.62;	52.56;	-32.81;	0.50;	55.63
383;	52819;	52949;	130;	-0.41;	7.58;	-0.07;	-2.56;	8.56;	-19.06;	-2.56;	8.56;	-19.06
384;	52949;	53100;	151;	-0.05;	8.44;	-0.66;	-7.31;	0.50;	-0.13;	-4.81;	0.75;	0.13
385;	53100;	53230;	130;	-0.08;	8.44;	-0.68;	7.87;	0.25;	-0.06;	7.87;	0.25;	-0.06
386;	53230;	53358;	128;	-0.04;	8.46;	-1.07;	4.75;	-0.37;	0.13;	4.75;	-0.37;	0.13
387;	53358;	53487;	129;	-0.07;	8.41;	-0.89;	1.50;	0.13;	0.00;	1.50;	0.13;	0.00
388;	53487;	53633;	146;	-0.09;	8.41;	-0.81;	-4.25;	0.25;	0.00;	-4.25;	0.25;	0.00
389;	53633;	53761;	128;	-0.08;	8.39;	-0.79;	1.00;	0.06;	0.00;	1.00;	0.06;	0.00
390;	53761;	53891;	130;	-0.10;	8.42;	-1.25;	0.69;	-0.25;	0.25;	0.69;	-0.25;	0.25
391;	53891;	54030;	139;	-0.11;	8.42;	-0.87;	-0.31;	0.25;	0.13;	-0.31;	0.25;	0.13
392;	54030;	54157;	127;	-0.10;	8.43;	-1.11;	-1.81;	-0.19;	0.00;	-1.81;	-0.19;	0.00
393;	54157;	54285;	128;	-0.10;	8.41;	-0.98;	-1.44;	0.00;	0.06;	-1.44;	0.00;	0.06
394;	54285;	54413;	128;	-0.06;	8.45;	-0.88;	-4.81;	-0.75;	-0.25;	-4.81;	-0.75;	-0.25
395;	54413;	54543;	130;	-0.12;	8.53;	-2.05;	-67.75;	-7.25;	-8.25;	-67.75;	-7.25;	-8.25
396;	54543;	54671;	128;	0.29;	8.11;	2.10;	-163.19;	-8.31;	2.87;	-163.19;	-8.31;	2.87
397;	54671;	54807;	136;	0.12;	0.60;	7.84;	-479.81;	-3.81;	-16.06;	-497.19;	-8.13;	-20.75
398;	54807;	54937;	130;	0.56;	0.56;	7.23;	-172.50;	2.75;	-4.56;	-172.50;	2.75;	-4.56
399;	54937;	55065;	128;	-0.58;	-3.03;	7.35;	-157.88;	18.62;	23.31;	-157.88;	18.62;	23.31
400;	55065;	55196;	131;	-0.90;	-7.50;	6.54;	-178.81;	6.50;	19.94;	-178.81;	6.50;	19.94
401;	55196;	55334;	138;	-1.39;	-10.05;	4.29;	-125.38;	-16.75;	-9.38;	-125.38;	-16.75;	-9.38
402;	55334;	55462;	128;	-0.62;	-11.64;	0.89;	-117.50;	-32.75;	37.31;	-117.50;	-32.75;	37.31
403;	55462;	55598;	136;	-0.86;	-11.44;	-0.26;	-33.56;	-17.37;	-11.81;	-33.56;	-17.37;	-11.81
404;	55598;	55726;	128;	-0.23;	-10.66;	-1.22;	-9.13;	-1.19;	-0.69;	-9.13;	-1.19;	-0.69
405;	55726;	55872;	146;	-0.32;	-10.69;	-0.90;	8.88;	0.06;	0.13;	8.88;	0.06;	0.13
406;	55872;	56001;	129;	-0.39;	-10.72;	-0.78;	-4.12;	4.94;	0.88;	-4.12;	4.94;	0.88
407;	56001;	56129;	128;	-0.39;	-10.71;	-1.03;	-8.56;	0.06;	0.25;	-8.56;	0.06;	0.25
408;	56129;	56267;	138;	-0.41;	-10.70;	-1.11;	-0.88;	-0.13;	0.13;	-0.88;	-0.13;	0.13
409;	56267;	56394;	127;	-0.39;	-10.70;	-1.13;	-2.50;	0.56;	0.19;	-1.56;	0.37;	0.06
410;	56394;	56522;	128;	-0.40;	-10.66;	-1.20;	-3.31;	0.00;	0.31;	-3.25;	-0.06;	0.19
411;	56522;	56652;	130;	-0.39;	-10.69;	-1.18;	1.37;	0.00;	0.00;	1.37;	0.00;	0.00
412;	56652;	56780;	128;	-0.41;	-10.67;	-1.17;	-0.75;	0.56;	0.06;	-0.75;	0.56;	0.06
413;	56780;	56909;	129;	-0.38;	-10.66;	-1.14;	4.62;	-0.56;	0.13;	4.62;	-0.56;	0.13
414;	56909;	57077;	168;	0.30;	-11.65;	-0.52;	57.69;	-5.69;	-11.94;	57.69;	-5.69;	-11.94
415;	57077;	57205;	128;	0.41;	-9.93;	3.54;	229.19;	-16.06;	-26.25;	229.19;	-16.06;	-26.25
416;	57205;	57333;	128;	1.42;	-6.88;	5.24;	150.00;	-27.00;	-39.19;	150.00;	-27.00;	-39.19
417;	57333;	57476;	143;	0.45;	-3.96;	7.89;	166.06;	10.00;	-19.81;	172.25;	12.56;	-19.69
418;	57476;	57606;	130;	0.93;	-2.52;	10.16;	-16.00;	59.13;	-2.31;	-16.00;	59.13;	-2.31
419;	57606;	57734;	128;	0.39;	-0.43;	8.97;	17.37;	2.12;	2.81;	17.37;	2.12;	2.81
420;	57734;	57873;	139;	-0.18;	-1.76;	9.12;	15.25;	-1.12;	-0.06;	15.25;	-1.12;	-0.06
421;	57873;	58020;	147;	0.20;	-1.64;	9.68;	28.06;	-6.25;	-2.69;	28.06;	-6.25;	-2.69
422;	58020;	58148;	128;	0.41;	-2.05;	10.95;	-92.88;	12.50;	1.37;	-92.88;	12.50;	1.37
423;	58148;	58276;	128;	-1.20;	-5.96;	7.94;	-183.06;	51.19;	-10.25;	-183.06;	51.19;	-10.25
424;	58276;	58407;	131;	-1.71;	-9.73;	5.85;	-196.37;	32.56;	21.12;	-196.37;	32.56;	21.12
425;	58407;	58535;	128;	-1.76;	-11.01;	0.35;	-269.69;	53.06;	37.88;	-269.69;	53.06;	37.88
426;	58535;	58672;	137;	-2.57;	-7.85;	-4.45;	-271.44;	46.88;	40.38;	-271.44;	46.88;	40.38
427;	58672;	58801;	129;	-2.92;	-3.07;	-6.78;	-172.69;	16.37;	46.00;	-172.69;	16.37;	46.00
428;	58801;	58929;	128;	-2.64;	-3.12;	-9.13;	21.37;	12.88;	0.37;	21.37;	12.88;	0.37
429;	58929;	59060;	131;	-2.66;	-3.96;	-8.93;	-2.00;	2.81;	-0.44;	-2.00;	2.81;	-0.44
430;	59060;	59188;	128;	-2.94;	-3.93;	-9.10;	4.19;	0.44;	6.06;	4.19;	0.44;	6.06
431;	59188;	59318;	130;	-2.74;	-3.79;	-8.65;	-0.44;	-3.31;	3.94;	-0.44;	-3.31;	3.94
432;	59318;	59455;	137;	-2.81;	-4.00;	-8.84;	-0.19;	-0.81;	0.19;	-0.19;	-0.81;	0.19
433;	59455;	59583;	128;	-2.65;	-3.75;	-8.80;	-1.69;	-3.62;	4.94;	-0.50;	-4.25;	5.06
434;	59583;	59723;	140;	-2.71;	-3.93;	-8.46;	5.44;	-4.94;	-1.75;	5.44;	-4.94;	-1.75
435;	59723;	59852;	129;	-3.10;	-4.21;	-8.61;	14.31;	-12.13;	-2.37;	14.31;	-12.13;	-2.37
436;	59852;	59980;	128;	-3.30;	-4.12;	-8.79;	4.25;	-2.37;	2.94;	4.25;	-2.37;	2.94
437;	59980;	60108;	128;	-3.33;	-4.17;	-8.39;	6.44;	-10.44;	3.37;	6.44;	-10.44;	3.37
438;	60108;	60261;	153;	-3.20;	-4.40;	-8.23;	7.62;	-9.69;	0.19;	7.62;	-9.69;	0.19
439;	60261;	60388;	127;	-3.41;	-4.72;	-8.13;	6.62;	-2.56;	1.37;	6.62;	-2.56;	1.37
440;	60388;	60516;	128;	-3.74;	-4.99;	-8.21;	18.06;	-1.56;	2.44;	18.06;	-1.56;	2.44
441;	60516;	60644;	128;	-3.55;	-4.68;	-7.28;	49.19;	-15.31;	-6.62;	49.19;	-15.31;	-6.62
442;	60644;	60775;	131;	-4.33;	-7.20;	-5.13;	212.00;	-64.62;	-1.37;	212.00;	-64.62;	-1.37
443;	60775;	60906;	131;	-2.99;	-10.15;	-0.54;	270.63;	-92.44;	10.19;	270.63;	-92.44;	10.19
444;	60906;	61042;	136;	-4.53;	-9.13;	7.41;	230.00;	-146.56;	-91.44;	230.00;	-146.56;	-91.44
