Contador	Anterior	Actual	Intervalo	X_gyr	Y_gyr	Z_gyr
474;	40781;	40858;	77;	2.31;	-0.56;	1.62
475;	40858;	40935;	77;	3.81;	0.06;	-0.69
476;	40935;	41013;	78;	5.94;	-0.75;	0.00
477;	41013;	41093;	80;	12.75;	-2.94;	5.44
478;	41093;	41173;	80;	94.13;	-2.69;	11.00
479;	41173;	41251;	78;	205.19;	-35.06;	-9.06
480;	41251;	41331;	80;	66.31;	0.69;	-7.00
481;	41331;	41409;	78;	98.69;	-22.87;	6.06
482;	41409;	41487;	78;	38.25;	-21.19;	-31.25
483;	41487;	41606;	119;	234.81;	-35.44;	21.00
484;	41606;	41696;	90;	258.06;	-8.94;	29.63
485;	41696;	41776;	80;	147.62;	1.94;	13.44
486;	41776;	41854;	78;	299.25;	-23.00;	-26.50
487;	41854;	41935;	81;	247.19;	-39.50;	-31.75
488;	41935;	42047;	112;	284.50;	-3.75;	-13.19
489;	42047;	42126;	79;	337.38;	-10.81;	-0.88
490;	42126;	42204;	78;	417.94;	-62.50;	38.50
491;	42204;	42283;	79;	264.12;	-56.88;	-24.06
492;	42283;	42360;	77;	278.50;	-74.06;	-27.44
493;	42360;	42439;	79;	248.38;	-16.56;	-53.31
494;	42439;	42525;	86;	147.87;	11.81;	-64.56
495;	42525;	42602;	77;	145.38;	34.38;	-81.31
496;	42602;	42680;	78;	48.50;	33.75;	-52.31
497;	42680;	42758;	78;	-80.38;	-41.13;	18.50
498;	42758;	42838;	80;	-195.00;	-33.88;	37.56
499;	42838;	42916;	78;	-437.38;	-14.31;	81.19
500;	42916;	42995;	79;	-270.31;	-45.94;	88.69
501;	42995;	43073;	78;	-467.06;	-115.19;	43.75
502;	43073;	43163;	90;	-325.06;	-77.19;	11.81
503;	43163;	43241;	78;	-329.75;	-62.56;	19.56
504;	43241;	43318;	77;	-234.87;	-30.31;	5.75
505;	43318;	43423;	105;	-273.38;	-16.06;	101.50
506;	43423;	43502;	79;	-267.19;	-58.81;	115.25
507;	43502;	43581;	79;	-272.94;	-0.88;	75.50
508;	43581;	43658;	77;	-223.62;	9.50;	41.13
509;	43658;	43736;	78;	-136.50;	-7.87;	34.31
510;	43736;	43813;	77;	-232.81;	-1.25;	37.50
511;	43813;	43892;	79;	-305.12;	-37.94;	17.94
512;	43892;	43969;	77;	3.87;	34.88;	6.75
513;	43969;	44048;	79;	-26.19;	3.00;	8.06
514;	44048;	44126;	78;	-236.62;	-18.37;	17.87
515;	44126;	44204;	78;	142.13;	-33.50;	-1.31
516;	44204;	44292;	88;	43.13;	35.63;	-30.19
517;	44292;	44369;	77;	-182.44;	27.62;	-15.50
518;	44369;	44446;	77;	-104.31;	-15.81;	-13.69
519;	44446;	44536;	90;	-32.44;	-16.81;	-19.50
520;	44536;	44614;	78;	-255.19;	-10.13;	-12.94
521;	44614;	44711;	97;	-307.56;	-45.50;	-15.06
522;	44711;	44789;	78;	-258.87;	-19.62;	21.56
523;	44789;	44867;	78;	-157.94;	-23.69;	39.19
524;	44867;	44946;	79;	-105.81;	-2.87;	11.06
525;	44946;	45024;	78;	-134.19;	-5.75;	7.25
526;	45024;	45105;	81;	-128.69;	10.88;	9.81
527;	45105;	45194;	89;	-144.87;	18.56;	-2.56
528;	45194;	45271;	77;	-76.12;	13.13;	1.56
529;	45271;	45349;	78;	-71.94;	6.56;	-15.25
530;	45349;	45427;	78;	-30.12;	-3.75;	-10.69
531;	45427;	45507;	80;	173.38;	-8.50;	6.87
532;	45507;	45587;	80;	421.81;	12.31;	0.44
533;	45587;	45665;	78;	446.87;	-8.63;	-22.44
534;	45665;	45744;	79;	359.69;	22.06;	16.00
535;	45744;	45822;	78;	347.44;	15.94;	-22.31
536;	45822;	45911;	89;	439.75;	6.56;	-34.06
537;	45911;	45990;	79;	286.37;	-11.50;	-37.25
538;	45990;	46092;	102;	248.50;	23.06;	-34.31
539;	46092;	46170;	78;	336.50;	17.06;	-64.00
540;	46170;	46250;	80;	224.37;	31.62;	-18.87
541;	46250;	46328;	78;	210.13;	-7.56;	45.31
542;	46328;	46408;	80;	154.00;	-10.19;	-14.56
543;	46408;	46487;	79;	291.19;	6.87;	-38.00
544;	46487;	46564;	77;	250.00;	4.00;	-52.19
545;	46564;	46642;	78;	236.75;	-2.37;	-44.94
546;	46642;	46720;	78;	283.06;	23.62;	-32.38
547;	46720;	46801;	81;	214.56;	34.56;	-21.06
548;	46801;	46879;	78;	117.31;	-6.56;	-10.63
549;	46879;	46967;	88;	33.25;	12.56;	16.00
550;	46967;	47045;	78;	-118.37;	13.38;	25.19
551;	47045;	47123;	78;	-199.25;	21.12;	11.75
552;	47123;	47203;	80;	-251.37;	32.81;	25.12
553;	47203;	47292;	89;	-365.69;	-9.88;	-12.44
554;	47292;	47386;	94;	-184.87;	10.25;	-45.56
555;	47386;	47465;	79;	-341.56;	29.69;	-52.88
556;	47465;	47544;	79;	-618.19;	47.25;	-33.56
557;	47544;	47622;	78;	-70.44;	-19.94;	-16.31
558;	47622;	47702;	80;	-229.87;	-35.50;	5.56
559;	47702;	47779;	77;	-149.75;	-30.50;	-0.06
560;	47779;	47865;	86;	-194.81;	-9.69;	9.94
561;	47865;	47945;	80;	-88.94;	-12.25;	15.94
562;	47945;	48022;	77;	-44.75;	-11.12;	18.37
563;	48022;	48101;	79;	-23.19;	-2.87;	26.69
564;	48101;	48179;	78;	34.88;	19.69;	14.63
565;	48179;	48257;	78;	11.12;	4.50;	3.87
566;	48257;	48335;	78;	0.13;	1.94;	5.56
567;	48335;	48416;	81;	21.87;	-8.69;	0.19
568;	48416;	48496;	80;	9.50;	-10.88;	-20.12
569;	48496;	48574;	78;	5.19;	-22.25;	-30.94
570;	48574;	48653;	79;	148.62;	25.12;	-4.37
571;	48653;	48760;	107;	16.25;	-4.44;	15.06
572;	48760;	48846;	86;	-133.81;	21.25;	14.50
573;	48846;	48923;	77;	71.44;	-8.81;	12.81
574;	48923;	49001;	78;	0.81;	1.87;	-0.06
575;	49001;	49079;	78;	0.94;	1.06;	0.13
576;	49079;	49159;	80;	0.37;	0.25;	-0.06
577;	49159;	49239;	80;	0.50;	0.44;	0.00
578;	49239;	49319;	80;	0.37;	0.31;	-0.13
579;	49319;	49399;	80;	0.31;	0.19;	-0.06
580;	49399;	49477;	78;	0.31;	0.13;	-0.06
581;	49477;	49556;	79;	2.12;	1.00;	0.19
582;	49556;	49634;	78;	0.44;	0.19;	0.06
583;	49634;	49712;	78;	1.06;	0.06;	8.75
584;	49712;	49798;	86;	0.50;	0.13;	12.56
585;	49798;	49875;	77;	0.37;	0.25;	0.00
586;	49875;	49953;	78;	0.31;	-0.06;	0.06
587;	49953;	50060;	107;	0.25;	0.25;	-0.13
588;	50060;	50140;	80;	0.19;	0.06;	0.00
589;	50140;	50220;	80;	0.19;	0.13;	0.00
590;	50220;	50300;	80;	0.19;	0.13;	-0.13
591;	50300;	50377;	77;	-0.75;	-0.37;	-0.06
592;	50377;	50455;	78;	-3.31;	0.13;	-21.19
593;	50455;	50533;	78;	8.81;	3.12;	2.00
594;	50533;	50613;	80;	-10.56;	19.56;	-0.25
595;	50613;	50690;	77;	2.00;	45.06;	-45.88
596;	50690;	50776;	86;	-35.75;	-12.25;	-23.44
597;	50776;	50855;	79;	-81.63;	4.06;	-11.88
598;	50855;	50933;	78;	-60.06;	-21.12;	-0.88
599;	50933;	51014;	81;	-126.87;	-22.94;	-1.06
600;	51014;	51092;	78;	-194.00;	-35.31;	-4.81
601;	51092;	51171;	79;	-164.00;	-19.94;	7.62
602;	51171;	51248;	77;	-183.87;	33.69;	7.69
603;	51248;	51327;	79;	-207.62;	17.75;	-11.06
604;	51327;	51424;	97;	-47.56;	10.19;	-30.19
605;	51424;	51515;	91;	-179.94;	-25.25;	-21.62
606;	51515;	51593;	78;	-168.81;	-29.69;	-15.25
607;	51593;	51680;	87;	-83.19;	-21.94;	10.00
608;	51680;	51758;	78;	-67.12;	-2.87;	20.69
609;	51758;	51836;	78;	-105.31;	0.25;	19.50
610;	51836;	51917;	81;	-229.50;	-15.88;	7.31
611;	51917;	51994;	77;	-332.81;	-16.87;	-25.25
612;	51994;	52072;	78;	105.75;	-14.94;	-23.44
613;	52072;	52150;	78;	-128.25;	-52.19;	-11.38
614;	52150;	52229;	79;	-0.13;	-8.44;	-18.31
615;	52229;	52309;	80;	-4.75;	-0.06;	-19.12
616;	52309;	52387;	78;	-35.50;	15.31;	8.75
617;	52387;	52467;	80;	-47.38;	2.19;	37.75
618;	52467;	52553;	86;	-78.25;	14.13;	9.19
619;	52553;	52631;	78;	-75.06;	14.94;	19.12
620;	52631;	52728;	97;	-32.38;	-9.75;	0.00
621;	52728;	52808;	80;	-91.69;	5.81;	-11.81
622;	52808;	52897;	89;	-18.81;	-10.94;	-0.13
623;	52897;	52975;	78;	-85.81;	2.69;	-22.31
624;	52975;	53053;	78;	-64.94;	3.25;	-0.25
625;	53053;	53132;	79;	-102.06;	29.37;	1.69
626;	53132;	53212;	80;	-199.06;	52.94;	-30.56
627;	53212;	53290;	78;	-84.00;	-13.88;	-27.69
628;	53290;	53370;	80;	-217.37;	-12.63;	4.31
629;	53370;	53447;	77;	-92.31;	-9.25;	-4.00
630;	53447;	53533;	86;	-70.00;	-15.13;	3.81
631;	53533;	53613;	80;	-185.00;	-11.75;	8.31
632;	53613;	53691;	78;	-12.06;	-23.56;	3.56
633;	53691;	53771;	80;	-61.37;	5.75;	-27.44
634;	53771;	53849;	78;	-77.50;	20.62;	2.94
635;	53849;	53927;	78;	-51.19;	-2.37;	18.69
636;	53927;	54005;	78;	-158.06;	31.81;	-32.13
637;	54005;	54103;	98;	-90.69;	-30.06;	21.94
638;	54103;	54184;	81;	-99.75;	-18.81;	17.87
639;	54184;	54276;	92;	-105.12;	-19.19;	-13.62
640;	54276;	54354;	78;	-130.63;	7.62;	-4.56
641;	54354;	54490;	136;	-271.25;	-31.75;	-45.81
642;	54490;	54568;	78;	13.81;	-14.56;	-3.19
643;	54568;	54646;	78;	-83.12;	4.50;	3.06
644;	54646;	54726;	80;	-216.00;	-9.38;	22.37
645;	54726;	54804;	78;	10.19;	22.87;	4.62
646;	54804;	54883;	79;	-8.31;	44.19;	-15.44
647;	54883;	54961;	78;	-110.00;	25.31;	-22.00
648;	54961;	55039;	78;	-163.37;	17.00;	-24.25
649;	55039;	55118;	79;	20.19;	-2.81;	-3.50
650;	55118;	55196;	78;	-101.44;	17.56;	-2.06
651;	55196;	55276;	80;	-194.00;	-5.37;	5.06
652;	55276;	55362;	86;	-327.31;	-6.12;	13.00
653;	55362;	55458;	96;	-160.56;	31.50;	-15.88
654;	55458;	55539;	81;	-44.06;	-22.25;	-17.37
655;	55539;	55619;	80;	-184.19;	-5.31;	-6.06
656;	55619;	55708;	89;	-121.31;	-61.75;	10.94
657;	55708;	55788;	80;	-118.19;	18.56;	-1.62
658;	55788;	55868;	80;	-114.62;	6.69;	3.44
659;	55868;	55946;	78;	-58.38;	-2.87;	1.87
660;	55946;	56024;	78;	-205.56;	48.81;	-13.19
661;	56024;	56102;	78;	-76.75;	-31.87;	-10.31
662;	56102;	56182;	80;	-46.94;	14.63;	13.13
663;	56182;	56268;	86;	-150.87;	11.25;	28.62
664;	56268;	56345;	77;	-156.63;	19.69;	7.00
665;	56345;	56423;	78;	-224.62;	54.19;	-64.25
666;	56423;	56501;	78;	-166.88;	43.63;	-24.37
667;	56501;	56582;	81;	-166.12;	20.37;	7.44
668;	56582;	56660;	78;	-252.38;	55.44;	-23.38
669;	56660;	56739;	79;	-147.62;	-37.44;	12.44
670;	56739;	56868;	129;	-107.19;	-17.06;	-5.69
671;	56868;	56946;	78;	-42.81;	35.31;	-24.94
672;	56946;	57025;	79;	-53.38;	41.06;	-0.25
673;	57025;	57114;	89;	-109.31;	51.37;	22.69
674;	57114;	57203;	89;	-122.69;	10.06;	0.69
675;	57203;	57284;	81;	-76.75;	-14.13;	-19.81
676;	57284;	57362;	78;	-32.19;	-11.00;	-11.38
677;	57362;	57441;	79;	-20.44;	3.62;	-26.50
678;	57441;	57519;	78;	-49.19;	-17.62;	-26.37
679;	57519;	57597;	78;	-26.50;	-13.75;	-13.31
680;	57597;	57676;	79;	-32.81;	-2.00;	2.19
681;	57676;	57754;	78;	-17.81;	7.50;	-8.50
682;	57754;	57834;	80;	12.37;	3.75;	-13.50
683;	57834;	57912;	78;	1.44;	3.19;	-3.69
684;	57912;	57990;	78;	8.13;	-1.25;	-2.50
685;	57990;	58068;	78;	48.81;	-3.37;	-14.87
686;	58068;	58173;	105;	264.00;	-17.00;	-56.56
687;	58173;	58250;	77;	310.56;	-15.50;	-41.06
688;	58250;	58329;	79;	211.56;	1.50;	-105.94
689;	58329;	58407;	78;	136.37;	-5.37;	3.19
690;	58407;	58499;	92;	-75.25;	26.50;	30.12
691;	58499;	58579;	80;	229.94;	35.50;	32.88
692;	58579;	58656;	77;	364.31;	15.44;	10.00
693;	58656;	58735;	79;	270.00;	-3.62;	0.25
694;	58735;	58813;	78;	249.12;	-11.44;	-15.69
695;	58813;	58891;	78;	87.88;	-2.00;	19.31
696;	58891;	58969;	78;	95.12;	34.31;	-38.31
697;	58969;	59058;	89;	256.56;	9.94;	7.12
698;	59058;	59138;	80;	310.13;	-20.31;	-9.31
699;	59138;	59216;	78;	154.44;	-44.00;	-4.06
700;	59216;	59294;	78;	106.50;	-40.25;	-18.62
701;	59294;	59372;	78;	112.25;	-7.75;	-11.69
702;	59372;	59452;	80;	121.37;	7.19;	4.62
703;	59452;	59550;	98;	191.56;	5.81;	-0.25
704;	59550;	59629;	79;	168.06;	7.37;	6.81
705;	59629;	59707;	78;	99.06;	-14.50;	0.69
706;	59707;	59785;	78;	159.56;	-26.75;	-21.94
707;	59785;	59863;	78;	150.44;	-9.00;	-17.31
708;	59863;	59963;	100;	99.44;	28.38;	-6.31
709;	59963;	60043;	80;	271.69;	-15.56;	-16.31
710;	60043;	60120;	77;	207.25;	-35.13;	-2.56
711;	60120;	60198;	78;	81.94;	-7.94;	-15.75
712;	60198;	60276;	78;	84.69;	-9.25;	-5.62
713;	60276;	60355;	79;	157.25;	-18.25;	9.50
714;	60355;	60435;	80;	-3.81;	24.69;	-8.56
715;	60435;	60513;	78;	346.94;	-7.50;	0.88
716;	60513;	60593;	80;	454.00;	-29.81;	-34.69
717;	60593;	60670;	77;	145.81;	-43.50;	-13.56
718;	60670;	60747;	77;	-131.19;	-46.31;	-8.19
719;	60747;	60842;	95;	312.75;	16.75;	-33.63
720;	60842;	60928;	86;	132.06;	40.75;	-41.50
721;	60928;	61007;	79;	118.69;	-16.12;	-4.37
722;	61007;	61087;	80;	206.06;	-28.94;	-25.25
723;	61087;	61165;	78;	181.00;	-94.44;	-21.44
724;	61165;	61245;	80;	165.69;	-65.75;	3.75
725;	61245;	61334;	89;	38.13;	-22.19;	13.19
726;	61334;	61411;	77;	160.06;	31.62;	-50.50
727;	61411;	61489;	78;	96.94;	97.75;	-39.69
728;	61489;	61566;	77;	62.13;	77.56;	14.63
729;	61566;	61646;	80;	61.94;	50.75;	-2.37
730;	61646;	61724;	78;	91.06;	7.44;	2.87
731;	61724;	61810;	86;	105.75;	22.75;	-33.63
732;	61810;	61889;	79;	135.19;	10.63;	-43.13
733;	61889;	61966;	77;	111.31;	-5.56;	-19.25
734;	61966;	62044;	78;	96.25;	38.69;	36.63
735;	62044;	62122;	78;	182.31;	1.56;	-17.94
736;	62122;	62218;	96;	212.19;	-42.13;	-25.44
737;	62218;	62298;	80;	148.50;	16.25;	10.00
738;	62298;	62376;	78;	258.94;	94.94;	9.25
739;	62376;	62454;	78;	164.50;	45.81;	0.00
740;	62454;	62532;	78;	173.62;	-11.12;	98.69
741;	62532;	62612;	80;	46.44;	-11.88;	42.75
742;	62612;	62712;	100;	112.88;	7.25;	40.56
743;	62712;	62792;	80;	79.06;	9.13;	23.44
744;	62792;	62870;	78;	87.25;	-16.00;	20.12
745;	62870;	62950;	80;	47.69;	-20.37;	20.88
746;	62950;	63028;	78;	2.69;	-14.69;	-10.63
747;	63028;	63106;	78;	15.06;	-8.13;	6.56
748;	63106;	63184;	78;	5.62;	16.94;	-4.69
749;	63184;	63264;	80;	-31.37;	11.38;	0.31
750;	63264;	63344;	80;	7.87;	41.06;	-7.56
751;	63344;	63422;	78;	-16.44;	84.25;	-3.94
752;	63422;	63519;	97;	-19.75;	165.88;	5.75
753;	63519;	63597;	78;	9.56;	246.62;	46.00
754;	63597;	63683;	86;	83.37;	102.12;	54.25
755;	63683;	63763;	80;	9.00;	112.19;	23.38
756;	63763;	63843;	80;	14.75;	75.31;	9.44
757;	63843;	63920;	77;	-31.25;	59.44;	-7.94
758;	63920;	63998;	78;	-19.06;	36.69;	19.75
759;	63998;	64088;	90;	240.44;	30.50;	-14.50
760;	64088;	64167;	79;	187.31;	55.81;	-60.69
761;	64167;	64247;	80;	-19.75;	150.31;	-36.13
762;	64247;	64325;	78;	-26.50;	185.06;	-4.62
763;	64325;	64405;	80;	9.06;	174.56;	-9.38
764;	64405;	64483;	78;	-31.06;	183.00;	-8.06
765;	64483;	64569;	86;	-66.31;	242.13;	54.25
766;	64569;	64648;	79;	-59.25;	320.12;	109.50
767;	64648;	64726;	78;	-9.94;	215.69;	85.75
768;	64726;	64806;	80;	4.87;	65.00;	56.25
769;	64806;	64901;	95;	16.37;	45.56;	51.37
770;	64901;	64979;	78;	16.87;	156.63;	-18.25
771;	64979;	65059;	80;	-33.00;	197.25;	-75.94
772;	65059;	65137;	78;	38.56;	133.37;	-18.00
773;	65137;	65216;	79;	10.88;	171.75;	-43.44
774;	65216;	65294;	78;	6.56;	183.31;	33.31
775;	65294;	65372;	78;	39.50;	68.37;	85.25
776;	65372;	65471;	99;	-22.13;	157.37;	66.56
777;	65471;	65551;	80;	-37.94;	163.62;	-6.69
778;	65551;	65629;	78;	-51.75;	222.00;	-37.44
779;	65629;	65709;	80;	143.37;	260.44;	-9.44
780;	65709;	65787;	78;	122.50;	221.06;	-18.31
781;	65787;	65865;	78;	-23.56;	183.87;	-28.75
782;	65865;	65943;	78;	-44.50;	140.56;	-16.94
783;	65943;	66023;	80;	42.81;	236.62;	-38.50
784;	66023;	66103;	80;	34.19;	169.50;	-44.06
785;	66103;	66197;	94;	6.87;	160.37;	-66.37
786;	66197;	66275;	78;	-19.81;	137.81;	2.50
787;	66275;	66362;	87;	-20.69;	77.94;	-11.44
788;	66362;	66440;	78;	-50.94;	122.75;	-39.31
789;	66440;	66518;	78;	-19.87;	-34.19;	-1.12
790;	66518;	66596;	78;	0.06;	-215.12;	21.56
791;	66596;	66675;	79;	0.75;	-387.94;	44.50
792;	66675;	66755;	80;	-37.19;	-470.00;	28.31
793;	66755;	66833;	78;	-117.75;	-316.63;	41.69
794;	66833;	66924;	91;	17.12;	-383.31;	-5.06
795;	66924;	67005;	81;	-21.31;	-345.25;	-47.69
796;	67005;	67083;	78;	-66.87;	-286.00;	-0.25
797;	67083;	67162;	79;	-107.00;	-286.56;	-10.50
798;	67162;	67280;	118;	-89.25;	-54.50;	-70.81
799;	67280;	67358;	78;	132.37;	-151.25;	-96.63
800;	67358;	67436;	78;	-130.37;	-173.94;	-93.87
801;	67436;	67517;	81;	-22.31;	-137.75;	19.56
802;	67517;	67613;	96;	123.56;	-105.94;	40.94
803;	67613;	67691;	78;	76.00;	-147.13;	-14.00
804;	67691;	67769;	78;	-30.19;	-177.50;	-25.75
805;	67769;	67847;	78;	20.50;	-200.87;	-67.81
806;	67847;	67928;	81;	-39.19;	-195.69;	5.06
807;	67928;	68008;	80;	-87.69;	-142.00;	3.87
808;	68008;	68086;	78;	-76.31;	-158.06;	-34.75
809;	68086;	68173;	87;	86.69;	-270.75;	28.87
810;	68173;	68251;	78;	25.44;	-155.81;	-68.81
811;	68251;	68342;	91;	66.06;	-181.25;	-2.12
812;	68342;	68421;	79;	21.50;	-194.06;	32.88
813;	68421;	68499;	78;	-8.81;	-67.50;	111.31
814;	68499;	68580;	81;	-3.31;	-206.50;	25.56
815;	68580;	68660;	80;	-62.25;	-177.87;	11.81
816;	68660;	68737;	77;	-194.13;	-149.50;	-51.00
817;	68737;	68815;	78;	-65.00;	-37.88;	-80.44
818;	68815;	68910;	95;	-45.50;	-16.56;	-2.31
819;	68910;	68987;	77;	-19.75;	29.69;	21.56
820;	68987;	69073;	86;	3.00;	29.25;	6.81
821;	69073;	69150;	77;	4.44;	-10.00;	16.19
822;	69150;	69230;	80;	43.13;	11.63;	-8.25
823;	69230;	69309;	79;	4.56;	26.56;	0.25
824;	69309;	69387;	78;	15.38;	27.56;	4.81
825;	69387;	69465;	78;	-6.06;	139.50;	32.38
826;	69465;	69543;	78;	-67.00;	34.63;	9.88
827;	69543;	69623;	80;	6.00;	-0.62;	20.25
828;	69623;	69712;	89;	-23.50;	15.19;	7.19
829;	69712;	69790;	78;	101.50;	-82.88;	33.69
830;	69790;	69868;	78;	41.00;	-7.25;	0.19
831;	69868;	69946;	78;	0.00;	0.06;	-0.06
832;	69946;	70034;	88;	0.75;	0.37;	0.06
833;	70034;	70115;	81;	0.00;	1.44;	0.00
834;	70115;	70193;	78;	0.62;	1.31;	66.44
835;	70193;	70291;	98;	0.56;	3.00;	154.56
836;	70291;	70369;	78;	-7.19;	0.37;	165.00
837;	70369;	70447;	78;	-1.75;	-0.81;	151.12
838;	70447;	70527;	80;	3.94;	-0.06;	216.50
839;	70527;	70605;	78;	1.31;	0.25;	186.00
840;	70605;	70685;	80;	2.12;	0.06;	216.38
841;	70685;	70765;	80;	-1.19;	1.81;	185.88
842;	70765;	70843;	78;	1.81;	-1.37;	163.87
843;	70843;	70921;	78;	1.06;	-0.50;	28.00
844;	70921;	71007;	86;	0.19;	0.25;	-0.13
845;	71007;	71114;	107;	0.19;	0.13;	-0.06
846;	71114;	71192;	78;	0.19;	0.06;	0.13
847;	71192;	71270;	78;	0.25;	0.00;	0.06
848;	71270;	71348;	78;	0.19;	0.13;	0.00
849;	71348;	71429;	81;	5.87;	2.44;	101.87
850;	71429;	71506;	77;	-1.81;	-1.44;	176.94
851;	71506;	71602;	96;	-1.81;	3.94;	195.31
852;	71602;	71681;	79;	0.31;	1.56;	172.62
853;	71681;	71759;	78;	4.44;	0.00;	166.50
854;	71759;	71840;	81;	1.25;	0.69;	161.81
855;	71840;	71920;	80;	-1.62;	-0.44;	142.44
856;	71920;	72006;	86;	-0.69;	-0.06;	80.38
857;	72006;	72083;	77;	0.19;	-0.25;	23.81
858;	72083;	72161;	78;	0.69;	-0.19;	-14.75
859;	72161;	72242;	81;	0.50;	0.06;	-9.50
860;	72242;	72322;	80;	0.25;	0.19;	-0.25
861;	72322;	72400;	78;	-1.19;	2.56;	-33.44
862;	72400;	72480;	80;	0.31;	3.12;	-179.38
863;	72480;	72568;	88;	-0.06;	0.75;	-224.12
864;	72568;	72646;	78;	2.44;	-2.69;	-261.94
865;	72646;	72725;	79;	-4.19;	-0.19;	-278.75
866;	72725;	72803;	78;	24.75;	4.06;	-325.94
867;	72803;	72883;	80;	-0.94;	-3.00;	-308.69
868;	72883;	72974;	91;	-8.75;	-1.06;	-295.19
869;	72974;	73051;	77;	-3.94;	0.37;	-260.69
870;	73051;	73130;	79;	-3.25;	3.69;	-267.56
871;	73130;	73208;	78;	0.19;	-0.62;	-224.88
872;	73208;	73286;	78;	0.94;	1.06;	17.37
873;	73286;	73364;	78;	1.31;	0.56;	51.06
874;	73364;	73445;	81;	0.13;	-0.13;	18.44
875;	73445;	73524;	79;	0.25;	0.06;	12.56
876;	73524;	73602;	78;	0.06;	0.13;	9.88
877;	73602;	73680;	78;	0.31;	0.19;	5.06
878;	73680;	73758;	78;	0.25;	-0.13;	2.69
879;	73758;	73846;	88;	1.81;	1.00;	-68.19
880;	73846;	73937;	91;	10.00;	-3.94;	-102.75
881;	73937;	74015;	78;	-29.56;	-3.69;	-131.06
882;	74015;	74095;	80;	3.56;	3.56;	-171.00
883;	74095;	74174;	79;	6.06;	2.87;	-246.69
884;	74174;	74251;	77;	-2.62;	0.94;	-245.50
885;	74251;	74347;	96;	-13.19;	2.06;	-253.00
886;	74347;	74428;	81;	1.87;	1.06;	-226.06
887;	74428;	74506;	78;	0.37;	1.69;	-249.94
888;	74506;	74585;	79;	1.56;	2.44;	-237.56
889;	74585;	74662;	77;	0.06;	1.50;	-212.19
890;	74662;	74741;	79;	-0.69;	0.37;	-172.37
891;	74741;	74827;	86;	3.50;	1.75;	-113.81
892;	74827;	74904;	77;	3.56;	1.62;	-192.19
893;	74904;	74982;	78;	-18.06;	-0.06;	-205.69
894;	74982;	75060;	78;	5.56;	1.00;	-112.12
895;	75060;	75141;	81;	0.31;	0.19;	0.00
896;	75141;	75221;	80;	-0.75;	0.00;	9.31
897;	75221;	75301;	80;	1.94;	-0.69;	95.94
898;	75301;	75392;	91;	-3.75;	-0.94;	98.12
899;	75392;	75470;	78;	0.94;	-0.75;	85.69
900;	75470;	75550;	80;	16.37;	-1.37;	128.81
901;	75550;	75648;	98;	-2.06;	-0.44;	116.56
902;	75648;	75734;	86;	1.00;	-2.31;	171.62
903;	75734;	75811;	77;	6.31;	2.50;	206.63
904;	75811;	75891;	80;	0.56;	0.31;	178.69
905;	75891;	75968;	77;	5.31;	-3.00;	151.31
906;	75968;	76046;	78;	6.37;	0.06;	173.44
907;	76046;	76124;	78;	9.81;	-6.12;	195.19
908;	76124;	76204;	80;	4.56;	7.69;	190.19
909;	76204;	76284;	80;	-1.56;	0.94;	132.50
910;	76284;	76362;	78;	-24.06;	3.81;	132.25
911;	76362;	76442;	80;	-6.00;	-1.12;	111.37
912;	76442;	76520;	78;	-3.56;	2.31;	131.37
913;	76520;	76598;	78;	-1.06;	-0.06;	139.00
914;	76598;	76684;	86;	2.31;	-0.88;	137.25
915;	76684;	76773;	89;	4.31;	-3.37;	126.44
916;	76773;	76852;	79;	1.94;	-2.94;	139.19
917;	76852;	76929;	77;	4.81;	0.94;	161.06
918;	76929;	77026;	97;	-0.44;	0.94;	104.12
919;	77026;	77107;	81;	5.37;	0.06;	95.94
920;	77107;	77187;	80;	0.37;	0.06;	-0.06
921;	77187;	77264;	77;	0.25;	0.13;	-0.06
922;	77264;	77342;	78;	0.31;	0.06;	0.00
923;	77342;	77420;	78;	0.31;	0.19;	0.06
924;	77420;	77499;	79;	0.13;	0.13;	-0.06
925;	77499;	77579;	80;	0.13;	0.13;	0.13
926;	77579;	77667;	88;	0.13;	0.25;	0.00
927;	77667;	77747;	80;	1.19;	0.31;	0.19
928;	77747;	77827;	80;	-2.44;	0.50;	92.00
929;	77827;	77907;	80;	0.25;	-0.88;	129.75
930;	77907;	77986;	79;	2.75;	0.88;	171.50
931;	77986;	78063;	77;	2.25;	-0.06;	181.19
932;	78063;	78152;	89;	1.25;	1.25;	193.81
933;	78152;	78230;	78;	0.13;	-0.13;	228.44
934;	78230;	78327;	97;	-6.50;	-0.75;	181.44
935;	78327;	78405;	78;	2.75;	0.56;	222.19
936;	78405;	78483;	78;	-4.25;	1.00;	195.44
937;	78483;	78562;	79;	0.19;	-0.81;	183.25
938;	78562;	78650;	88;	1.50;	-1.19;	160.12
939;	78650;	78727;	77;	-1.62;	-1.69;	173.94
940;	78727;	78804;	77;	20.50;	4.37;	66.94
941;	78804;	78881;	77;	0.44;	0.44;	-0.19
942;	78881;	78962;	81;	0.25;	0.13;	-0.13
943;	78962;	79042;	80;	0.25;	0.25;	0.00
944;	79042;	79120;	78;	0.19;	0.25;	-0.13
945;	79120;	79198;	78;	0.25;	0.31;	0.00
946;	79198;	79276;	78;	0.75;	0.31;	0.00
947;	79276;	79355;	79;	-2.50;	-0.06;	176.56
948;	79355;	79433;	78;	9.88;	-0.75;	166.25
