0;	0;	6706;	6706;	21.01;	755.68;	0.68
1300;	59897;	59935;	38;	20.74;	755.49;	2.80
1301;	59935;	59973;	38;	20.74;	755.49;	2.80
1302;	59973;	60011;	38;	20.74;	755.38;	4.02
1303;	60011;	60049;	38;	20.74;	755.38;	4.02
1304;	60049;	60087;	38;	20.74;	755.38;	4.02
1305;	60087;	60133;	46;	20.74;	755.49;	2.80
1306;	60133;	60171;	38;	20.75;	755.41;	3.69
1307;	60171;	60209;	38;	20.74;	755.38;	4.02
1308;	60209;	60247;	38;	20.74;	755.38;	4.02
1309;	60247;	60285;	38;	20.74;	755.49;	2.80
1310;	60285;	60335;	50;	20.72;	755.35;	4.36
1311;	60335;	60391;	56;	20.74;	755.38;	4.02
1312;	60391;	60429;	38;	20.74;	755.49;	2.80
1313;	60429;	60467;	38;	20.72;	755.46;	3.13
1314;	60467;	60505;	38;	20.72;	755.46;	3.13
1315;	60505;	60543;	38;	20.72;	755.46;	3.13
1316;	60543;	60589;	46;	20.74;	755.49;	2.80
1317;	60589;	60627;	38;	20.72;	755.46;	3.13
1318;	60627;	60665;	38;	20.74;	755.49;	2.80
1319;	60665;	60703;	38;	20.72;	755.35;	4.36
1320;	60703;	60741;	38;	20.72;	755.46;	3.13
1321;	60741;	60779;	38;	20.72;	755.46;	3.13
1322;	60779;	60817;	38;	20.72;	755.46;	3.13
1323;	60817;	60855;	38;	20.72;	755.46;	3.13
1324;	60855;	60893;	38;	20.72;	755.46;	3.13
1325;	60893;	60931;	38;	20.72;	755.46;	3.13
1326;	60931;	60969;	38;	20.72;	755.46;	3.13
1327;	60969;	61007;	38;	20.72;	755.46;	3.13
1328;	61007;	61081;	74;	20.72;	755.46;	3.13
1329;	61081;	61119;	38;	20.70;	755.54;	2.24
1330;	61119;	61157;	38;	20.72;	755.57;	1.90
1331;	61157;	61195;	38;	20.72;	755.46;	3.13
1332;	61195;	61233;	38;	20.72;	755.46;	3.13
1333;	61233;	61271;	38;	20.72;	755.46;	3.13
1334;	61271;	61309;	38;	20.72;	755.46;	3.13
1335;	61309;	61347;	38;	20.72;	755.57;	1.90
1336;	61347;	61385;	38;	20.74;	755.49;	2.80
1337;	61385;	61423;	38;	20.70;	755.43;	3.47
1338;	61423;	61461;	38;	20.72;	755.46;	3.13
1339;	61461;	61507;	46;	20.72;	755.46;	3.13
1340;	61507;	61545;	38;	20.72;	755.46;	3.13
1341;	61545;	61583;	38;	20.70;	755.43;	3.47
1342;	61583;	61621;	38;	20.72;	755.46;	3.13
1343;	61621;	61659;	38;	20.72;	755.46;	3.13
1344;	61659;	61725;	66;	20.72;	755.46;	3.13
1345;	61725;	61763;	38;	20.72;	755.46;	3.13
1346;	61763;	61801;	38;	20.70;	755.54;	2.24
1347;	61801;	61839;	38;	20.72;	755.46;	3.13
1348;	61839;	61877;	38;	20.70;	755.43;	3.47
1349;	61877;	61915;	38;	20.70;	755.43;	3.47
1350;	61915;	61973;	58;	20.70;	755.54;	2.24
1351;	61973;	62011;	38;	20.70;	755.54;	2.24
1352;	62011;	62049;	38;	20.70;	755.43;	3.47
1353;	62049;	62087;	38;	20.70;	755.54;	2.24
1354;	62087;	62125;	38;	20.70;	755.54;	2.24
1355;	62125;	62163;	38;	20.70;	755.43;	3.47
1356;	62163;	62201;	38;	20.70;	755.54;	2.24
1357;	62201;	62239;	38;	20.70;	755.43;	3.47
1358;	62239;	62277;	38;	20.70;	755.54;	2.24
1359;	62277;	62315;	38;	20.70;	755.54;	2.24
1360;	62315;	62353;	38;	20.70;	755.43;	3.47
1361;	62353;	62408;	55;	20.70;	755.54;	2.24
1362;	62408;	62466;	58;	20.70;	755.54;	2.24
1363;	62466;	62504;	38;	20.70;	755.54;	2.24
1364;	62504;	62542;	38;	20.70;	755.43;	3.47
1365;	62542;	62580;	38;	20.70;	755.43;	3.47
1366;	62580;	62618;	38;	20.70;	755.54;	2.24
1367;	62618;	62656;	38;	20.69;	755.50;	2.68
1368;	62656;	62694;	38;	20.70;	755.54;	2.24
1369;	62694;	62732;	38;	20.70;	755.43;	3.47
1370;	62732;	62770;	38;	20.69;	755.39;	3.91
1371;	62770;	62808;	38;	20.70;	755.43;	3.47
1372;	62808;	62846;	38;	20.69;	755.50;	2.68
1373;	62846;	62892;	46;	20.69;	755.50;	2.68
1374;	62892;	62930;	38;	20.69;	755.39;	3.91
1375;	62930;	62968;	38;	20.69;	755.39;	3.91
1376;	62968;	63006;	38;	20.69;	755.39;	3.91
1377;	63006;	63062;	56;	20.69;	755.50;	2.68
1378;	63062;	63100;	38;	20.69;	755.39;	3.91
1379;	63100;	63165;	65;	20.69;	755.50;	2.68
1380;	63165;	63203;	38;	20.69;	755.50;	2.68
1381;	63203;	63241;	38;	20.69;	755.39;	3.91
1382;	63241;	63279;	38;	20.69;	755.50;	2.68
1383;	63279;	63317;	38;	20.69;	755.39;	3.91
1384;	63317;	63355;	38;	20.69;	755.39;	3.91
1385;	63355;	63401;	46;	20.67;	755.47;	3.02
1386;	63401;	63439;	38;	20.67;	755.36;	4.25
1387;	63439;	63477;	38;	20.67;	755.47;	3.02
1388;	63477;	63515;	38;	20.67;	755.36;	4.25
1389;	63515;	63553;	38;	20.67;	755.47;	3.02
1390;	63553;	63591;	38;	20.69;	755.50;	2.68
1391;	63591;	63629;	38;	20.69;	755.39;	3.91
1392;	63629;	63667;	38;	20.67;	755.36;	4.25
1393;	63667;	63705;	38;	20.67;	755.36;	4.25
1394;	63705;	63761;	56;	20.67;	755.36;	4.25
1395;	63761;	63799;	38;	20.67;	755.36;	4.25
1396;	63799;	63857;	58;	20.67;	755.36;	4.25
1397;	63857;	63895;	38;	20.67;	755.47;	3.02
1398;	63895;	63933;	38;	20.67;	755.36;	4.25
1399;	63933;	63971;	38;	20.67;	755.36;	4.25
1400;	63971;	64009;	38;	20.67;	755.47;	3.02
1401;	64009;	64047;	38;	20.67;	755.36;	4.25
1402;	64047;	64085;	38;	20.65;	755.44;	3.35
1403;	64085;	64123;	38;	20.67;	755.47;	3.02
1404;	64123;	64161;	38;	20.67;	755.47;	3.02
1405;	64161;	64199;	38;	20.67;	755.47;	3.02
1406;	64199;	64237;	38;	20.67;	755.36;	4.25
1407;	64237;	64283;	46;	20.65;	755.44;	3.35
1408;	64283;	64321;	38;	20.67;	755.47;	3.02
1409;	64321;	64359;	38;	20.65;	755.44;	3.35
1410;	64359;	64415;	56;	20.67;	755.36;	4.25
1411;	64415;	64453;	38;	20.67;	755.36;	4.25
1412;	64453;	64491;	38;	20.67;	755.36;	4.25
1413;	64491;	64541;	50;	20.65;	755.44;	3.35
1414;	64541;	64579;	38;	20.65;	755.44;	3.35
1415;	64579;	64617;	38;	20.65;	755.33;	4.58
1416;	64617;	64655;	38;	20.65;	755.44;	3.35
1417;	64655;	64693;	38;	20.65;	755.44;	3.35
1418;	64693;	64731;	38;	20.65;	755.33;	4.58
1419;	64731;	64777;	46;	20.65;	755.33;	4.58
1420;	64777;	64815;	38;	20.65;	755.44;	3.35
1421;	64815;	64853;	38;	20.65;	755.44;	3.35
1422;	64853;	64891;	38;	20.65;	755.44;	3.35
1423;	64891;	64929;	38;	20.65;	755.33;	4.58
1424;	64929;	64967;	38;	20.65;	755.33;	4.58
1425;	64967;	65005;	38;	20.65;	755.44;	3.35
1426;	65005;	65043;	38;	20.65;	755.33;	4.58
1427;	65043;	65099;	56;	20.63;	755.29;	5.03
1428;	65099;	65137;	38;	20.65;	755.33;	4.58
1429;	65137;	65175;	38;	20.65;	755.44;	3.35
1430;	65175;	65233;	58;	20.65;	755.44;	3.35
1431;	65233;	65271;	38;	20.65;	755.33;	4.58
1432;	65271;	65309;	38;	20.65;	755.44;	3.35
1433;	65309;	65347;	38;	20.65;	755.33;	4.58
1434;	65347;	65385;	38;	20.65;	755.33;	4.58
1435;	65385;	65423;	38;	20.65;	755.33;	4.58
1436;	65423;	65461;	38;	20.65;	755.33;	4.58
1437;	65461;	65499;	38;	20.65;	755.33;	4.58
1438;	65499;	65537;	38;	20.65;	755.33;	4.58
1439;	65537;	65575;	38;	20.65;	755.33;	4.58
1440;	65575;	65613;	38;	20.67;	755.36;	4.25
1441;	65613;	65690;	77;	20.65;	755.44;	3.35
1442;	65690;	65728;	38;	20.65;	755.33;	4.58
1443;	65728;	65784;	56;	20.65;	755.44;	3.35
1444;	65784;	65822;	38;	20.65;	755.33;	4.58
1445;	65822;	65860;	38;	20.65;	755.44;	3.35
1446;	65860;	65898;	38;	20.65;	755.33;	4.58
1447;	65898;	65936;	38;	20.65;	755.33;	4.58
1448;	65936;	65986;	50;	20.65;	755.33;	4.58
1449;	65986;	66024;	38;	20.67;	755.36;	4.25
1450;	66024;	66062;	38;	20.65;	755.21;	5.92
1451;	66062;	66100;	38;	20.65;	755.33;	4.58
1452;	66100;	66138;	38;	20.67;	755.36;	4.25
1453;	66138;	66184;	46;	20.67;	755.36;	4.25
1454;	66184;	66222;	38;	20.65;	755.33;	4.58
1455;	66222;	66260;	38;	20.67;	755.25;	5.48
1456;	66260;	66298;	38;	20.67;	755.36;	4.25
1457;	66298;	66336;	38;	20.65;	755.33;	4.58
1458;	66336;	66374;	38;	20.65;	755.33;	4.58
1459;	66374;	66412;	38;	20.65;	755.44;	3.35
1460;	66412;	66468;	56;	20.65;	755.33;	4.58
1461;	66468;	66506;	38;	20.67;	755.36;	4.25
1462;	66506;	66544;	38;	20.67;	755.25;	5.48
1463;	66544;	66582;	38;	20.67;	755.47;	3.02
1464;	66582;	66628;	46;	20.65;	755.33;	4.58
1465;	66628;	66678;	50;	20.65;	755.33;	4.58
1466;	66678;	66716;	38;	20.65;	755.33;	4.58
1467;	66716;	66754;	38;	20.67;	755.36;	4.25
1468;	66754;	66792;	38;	20.67;	755.36;	4.25
1469;	66792;	66830;	38;	20.67;	755.36;	4.25
1470;	66830;	66868;	38;	20.65;	755.33;	4.58
1471;	66868;	66906;	38;	20.67;	755.36;	4.25
1472;	66906;	66944;	38;	20.65;	755.33;	4.58
1473;	66944;	66982;	38;	20.65;	755.33;	4.58
1474;	66982;	67020;	38;	20.67;	755.25;	5.48
1475;	67020;	67058;	38;	20.65;	755.33;	4.58
1476;	67058;	67140;	82;	20.65;	755.33;	4.58
1477;	67140;	67183;	43;	20.65;	755.21;	5.92
1478;	67183;	67226;	43;	20.65;	755.33;	4.58
1479;	67226;	67269;	43;	20.67;	755.36;	4.25
1480;	67269;	67312;	43;	20.67;	755.25;	5.48
1481;	67312;	67355;	43;	20.67;	755.25;	5.48
1482;	67355;	67410;	55;	20.67;	755.36;	4.25
1483;	67410;	67453;	43;	20.67;	755.25;	5.48
1484;	67453;	67496;	43;	20.67;	755.25;	5.48
1485;	67496;	67539;	43;	20.65;	755.21;	5.92
1486;	67539;	67582;	43;	20.67;	755.25;	5.48
1487;	67582;	67633;	51;	20.65;	755.33;	4.58
1488;	67633;	67676;	43;	20.67;	755.25;	5.48
1489;	67676;	67719;	43;	20.65;	755.21;	5.92
1490;	67719;	67762;	43;	20.67;	755.25;	5.48
1491;	67762;	67805;	43;	20.67;	755.36;	4.25
1492;	67805;	67848;	43;	20.67;	755.14;	6.70
1493;	67848;	67909;	61;	20.67;	755.14;	6.70
1494;	67909;	67952;	43;	20.67;	755.25;	5.48
1495;	67952;	67995;	43;	20.67;	755.25;	5.48
1496;	67995;	68038;	43;	20.67;	755.25;	5.48
1497;	68038;	68081;	43;	20.67;	755.25;	5.48
1498;	68081;	68132;	51;	20.67;	755.36;	4.25
1499;	68132;	68187;	55;	20.67;	755.25;	5.48
1500;	68187;	68230;	43;	20.67;	755.36;	4.25
1501;	68230;	68273;	43;	20.67;	755.25;	5.48
1502;	68273;	68316;	43;	20.67;	755.25;	5.48
1503;	68316;	68359;	43;	20.67;	755.36;	4.25
1504;	68359;	68402;	43;	20.67;	755.25;	5.48
1505;	68402;	68445;	43;	20.65;	755.21;	5.92
1506;	68445;	68488;	43;	20.67;	755.25;	5.48
1507;	68488;	68531;	43;	20.65;	755.21;	5.92
1508;	68531;	68574;	43;	20.67;	755.25;	5.48
1509;	68574;	68635;	61;	20.67;	755.25;	5.48
1510;	68635;	68686;	51;	20.67;	755.25;	5.48
1511;	68686;	68729;	43;	20.65;	755.21;	5.92
1512;	68729;	68772;	43;	20.67;	755.47;	3.02
1513;	68772;	68815;	43;	20.67;	755.47;	3.02
1514;	68815;	68858;	43;	20.67;	755.25;	5.48
1515;	68858;	68901;	43;	20.67;	755.36;	4.25
1516;	68901;	68944;	43;	20.67;	755.25;	5.48
1517;	68944;	68998;	54;	20.65;	755.33;	4.58
1518;	68998;	69041;	43;	20.65;	755.21;	5.92
1519;	69041;	69084;	43;	20.65;	755.33;	4.58
1520;	69084;	69127;	43;	20.65;	755.33;	4.58
1521;	69127;	69178;	51;	20.67;	755.47;	3.02
1522;	69178;	69221;	43;	20.65;	755.33;	4.58
1523;	69221;	69264;	43;	20.65;	755.33;	4.58
1524;	69264;	69307;	43;	20.65;	755.33;	4.58
1525;	69307;	69350;	43;	20.67;	755.47;	3.02
1526;	69350;	69411;	61;	20.65;	755.33;	4.58
1527;	69411;	69454;	43;	20.65;	755.44;	3.35
1528;	69454;	69497;	43;	20.67;	755.25;	5.48
1529;	69497;	69540;	43;	20.65;	755.33;	4.58
1530;	69540;	69583;	43;	20.65;	755.33;	4.58
1531;	69583;	69626;	43;	20.67;	755.25;	5.48
1532;	69626;	69669;	43;	20.65;	755.21;	5.92
1533;	69669;	69708;	39;	20.65;	755.33;	4.58
1534;	69708;	69763;	55;	20.67;	755.36;	4.25
1535;	69763;	69806;	43;	20.67;	755.25;	5.48
1536;	69806;	69849;	43;	20.67;	755.36;	4.25
1537;	69849;	69892;	43;	20.65;	755.33;	4.58
1538;	69892;	69935;	43;	20.67;	755.36;	4.25
1539;	69935;	69978;	43;	20.65;	755.33;	4.58
1540;	69978;	70021;	43;	20.65;	755.33;	4.58
1541;	70021;	70064;	43;	20.67;	755.36;	4.25
1542;	70064;	70107;	43;	20.67;	755.36;	4.25
1543;	70107;	70168;	61;	20.65;	755.33;	4.58
1544;	70168;	70219;	51;	20.65;	755.33;	4.58
1545;	70219;	70262;	43;	20.65;	755.33;	4.58
1546;	70262;	70305;	43;	20.65;	755.33;	4.58
1547;	70305;	70348;	43;	20.65;	755.33;	4.58
1548;	70348;	70391;	43;	20.65;	755.33;	4.58
1549;	70391;	70434;	43;	20.65;	755.33;	4.58
1550;	70434;	70477;	43;	20.65;	755.21;	5.92
1551;	70477;	70520;	43;	20.65;	755.33;	4.58
1552;	70520;	70575;	55;	20.65;	755.33;	4.58
1553;	70575;	70618;	43;	20.65;	755.33;	4.58
1554;	70618;	70661;	43;	20.65;	755.33;	4.58
1555;	70661;	70712;	51;	20.65;	755.33;	4.58
1556;	70712;	70755;	43;	20.65;	755.33;	4.58
1557;	70755;	70798;	43;	20.65;	755.33;	4.58
1558;	70798;	70841;	43;	20.65;	755.21;	5.92
1559;	70841;	70901;	60;	20.65;	755.21;	5.92
1560;	70901;	70944;	43;	20.65;	755.10;	7.15
1561;	70944;	70987;	43;	20.65;	755.33;	4.58
1562;	70987;	71030;	43;	20.65;	755.21;	5.92
1563;	71030;	71073;	43;	20.65;	755.33;	4.58
1564;	71073;	71116;	43;	20.65;	755.21;	5.92
1565;	71116;	71159;	43;	20.65;	755.33;	4.58
1566;	71159;	71202;	43;	20.65;	755.33;	4.58
1567;	71202;	71253;	51;	20.65;	755.33;	4.58
1568;	71253;	71296;	43;	20.65;	755.21;	5.92
1569;	71296;	71367;	71;	20.65;	755.33;	4.58
1570;	71367;	71410;	43;	20.65;	755.21;	5.92
1571;	71410;	71453;	43;	20.65;	755.21;	5.92
1572;	71453;	71496;	43;	20.65;	755.33;	4.58
1573;	71496;	71539;	43;	20.63;	755.29;	5.03
1574;	71539;	71582;	43;	20.65;	755.33;	4.58
1575;	71582;	71625;	43;	20.65;	755.21;	5.92
1576;	71625;	71686;	61;	20.65;	755.33;	4.58
1577;	71686;	71729;	43;	20.65;	755.33;	4.58
1578;	71729;	71780;	51;	20.65;	755.33;	4.58
1579;	71780;	71823;	43;	20.63;	755.18;	6.26
1580;	71823;	71866;	43;	20.63;	755.18;	6.26
1581;	71866;	71909;	43;	20.65;	755.21;	5.92
1582;	71909;	71952;	43;	20.65;	755.21;	5.92
1583;	71952;	71995;	43;	20.65;	755.33;	4.58
1584;	71995;	72038;	43;	20.65;	755.21;	5.92
1585;	72038;	72081;	43;	20.63;	755.29;	5.03
1586;	72081;	72135;	54;	20.65;	755.33;	4.58
1587;	72135;	72178;	43;	20.65;	755.21;	5.92
1588;	72178;	72221;	43;	20.65;	755.21;	5.92
1589;	72221;	72272;	51;	20.63;	755.29;	5.03
1590;	72272;	72315;	43;	20.65;	755.21;	5.92
1591;	72315;	72358;	43;	20.63;	755.18;	6.26
1592;	72358;	72418;	60;	20.65;	755.33;	4.58
1593;	72418;	72461;	43;	20.65;	755.21;	5.92
1594;	72461;	72504;	43;	20.65;	755.33;	4.58
1595;	72504;	72547;	43;	20.63;	755.18;	6.26
1596;	72547;	72590;	43;	20.63;	755.29;	5.03
1597;	72590;	72633;	43;	20.63;	755.29;	5.03
1598;	72633;	72676;	43;	20.63;	755.29;	5.03
1599;	72676;	72719;	43;	20.63;	755.18;	6.26
1600;	72719;	72762;	43;	20.63;	755.18;	6.26
1601;	72762;	72846;	84;	20.63;	755.29;	5.03
1602;	72846;	72889;	43;	20.63;	755.18;	6.26
1603;	72889;	72943;	54;	20.63;	755.29;	5.03
1604;	72943;	72986;	43;	20.63;	755.18;	6.26
1605;	72986;	73029;	43;	20.63;	755.18;	6.26
1606;	73029;	73072;	43;	20.63;	755.18;	6.26
1607;	73072;	73115;	43;	20.65;	755.33;	4.58
1608;	73115;	73158;	43;	20.63;	755.18;	6.26
1609;	73158;	73218;	60;	20.63;	755.18;	6.26
1610;	73218;	73261;	43;	20.63;	755.18;	6.26
1611;	73261;	73304;	43;	20.63;	755.29;	5.03
1612;	73304;	73355;	51;	20.63;	755.18;	6.26
1613;	73355;	73398;	43;	20.63;	755.18;	6.26
1614;	73398;	73441;	43;	20.63;	755.18;	6.26
1615;	73441;	73484;	43;	20.63;	755.18;	6.26
1616;	73484;	73527;	43;	20.63;	755.29;	5.03
1617;	73527;	73570;	43;	20.63;	755.41;	3.69
1618;	73570;	73613;	43;	20.63;	755.18;	6.26
1619;	73613;	73656;	43;	20.63;	755.29;	5.03
1620;	73656;	73699;	43;	20.65;	755.33;	4.58
1621;	73699;	73754;	55;	20.63;	755.18;	6.26
1622;	73754;	73797;	43;	20.63;	755.07;	7.49
1623;	73797;	73840;	43;	20.63;	755.18;	6.26
1624;	73840;	73891;	51;	20.63;	755.29;	5.03
1625;	73891;	73952;	61;	20.63;	755.18;	6.26
1626;	73952;	73995;	43;	20.63;	755.29;	5.03
1627;	73995;	74038;	43;	20.65;	755.33;	4.58
1628;	74038;	74081;	43;	20.63;	755.18;	6.26
1629;	74081;	74124;	43;	20.63;	755.29;	5.03
1630;	74124;	74167;	43;	20.63;	755.29;	5.03
1631;	74167;	74210;	43;	20.63;	755.29;	5.03
1632;	74210;	74253;	43;	20.63;	755.29;	5.03
1633;	74253;	74296;	43;	20.63;	755.18;	6.26
1634;	74296;	74339;	43;	20.63;	755.18;	6.26
1635;	74339;	74390;	51;	20.63;	755.18;	6.26
1636;	74390;	74433;	43;	20.63;	755.29;	5.03
1637;	74433;	74476;	43;	20.63;	755.18;	6.26
1638;	74476;	74531;	55;	20.63;	755.29;	5.03
1639;	74531;	74574;	43;	20.63;	755.18;	6.26
1640;	74574;	74617;	43;	20.63;	755.18;	6.26
1641;	74617;	74660;	43;	20.63;	755.18;	6.26
1642;	74660;	74721;	61;	20.63;	755.29;	5.03
1643;	74721;	74764;	43;	20.63;	755.18;	6.26
1644;	74764;	74807;	43;	20.63;	755.29;	5.03
1645;	74807;	74850;	43;	20.63;	755.29;	5.03
1646;	74850;	74901;	51;	20.63;	755.29;	5.03
1647;	74901;	74944;	43;	20.63;	755.18;	6.26
1648;	74944;	74987;	43;	20.63;	755.29;	5.03
1649;	74987;	75030;	43;	20.63;	755.18;	6.26
1650;	75030;	75073;	43;	20.63;	755.18;	6.26
1651;	75073;	75116;	43;	20.63;	755.29;	5.03
1652;	75116;	75159;	43;	20.63;	755.29;	5.03
1653;	75159;	75202;	43;	20.63;	755.29;	5.03
1654;	75202;	75245;	43;	20.63;	755.29;	5.03
1655;	75245;	75300;	55;	20.63;	755.18;	6.26
1656;	75300;	75343;	43;	20.63;	755.18;	6.26
1657;	75343;	75386;	43;	20.63;	755.18;	6.26
1658;	75386;	75455;	69;	20.62;	755.26;	5.36
1659;	75455;	75498;	43;	20.63;	755.29;	5.03
1660;	75498;	75541;	43;	20.63;	755.29;	5.03
1661;	75541;	75584;	43;	20.63;	755.18;	6.26
1662;	75584;	75627;	43;	20.63;	755.18;	6.26
1663;	75627;	75670;	43;	20.63;	755.18;	6.26
1664;	75670;	75713;	43;	20.62;	755.15;	6.59
1665;	75713;	75756;	43;	20.63;	755.18;	6.26
1666;	75756;	75799;	43;	20.62;	755.15;	6.59
1667;	75799;	75842;	43;	20.63;	755.18;	6.26
1668;	75842;	75885;	43;	20.62;	755.15;	6.59
1669;	75885;	75936;	51;	20.63;	755.18;	6.26
1670;	75936;	75979;	43;	20.63;	755.29;	5.03
1671;	75979;	76022;	43;	20.63;	755.18;	6.26
1672;	76022;	76077;	55;	20.63;	755.29;	5.03
1673;	76077;	76120;	43;	20.62;	755.15;	6.59
1674;	76120;	76163;	43;	20.62;	755.26;	5.36
1675;	76163;	76223;	60;	20.62;	755.26;	5.36
1676;	76223;	76266;	43;	20.63;	755.18;	6.26
1677;	76266;	76309;	43;	20.62;	755.15;	6.59
1678;	76309;	76352;	43;	20.62;	755.15;	6.59
1679;	76352;	76395;	43;	20.63;	755.29;	5.03
1680;	76395;	76459;	64;	20.63;	755.18;	6.26
1681;	76459;	76502;	43;	20.62;	755.15;	6.59
1682;	76502;	76545;	43;	20.62;	755.15;	6.59
1683;	76545;	76588;	43;	20.62;	755.15;	6.59
1684;	76588;	76631;	43;	20.62;	755.15;	6.59
1685;	76631;	76674;	43;	20.62;	755.15;	6.59
1686;	76674;	76717;	43;	20.62;	755.15;	6.59
1687;	76717;	76760;	43;	20.62;	755.04;	7.82
1688;	76760;	76803;	43;	20.62;	755.15;	6.59
1689;	76803;	76846;	43;	20.63;	755.18;	6.26
1690;	76846;	76900;	54;	20.63;	755.18;	6.26
1691;	76900;	76960;	60;	20.62;	755.26;	5.36
1692;	76960;	77011;	51;	20.62;	755.15;	6.59
1693;	77011;	77054;	43;	20.62;	755.04;	7.82
1694;	77054;	77097;	43;	20.63;	755.18;	6.26
1695;	77097;	77140;	43;	20.62;	755.15;	6.59
1696;	77140;	77183;	43;	20.62;	755.26;	5.36
1697;	77183;	77226;	43;	20.62;	755.15;	6.59
1698;	77226;	77269;	43;	20.63;	755.18;	6.26
1699;	77269;	77312;	43;	20.62;	755.15;	6.59
1700;	77312;	77355;	43;	20.62;	755.26;	5.36
1701;	77355;	77398;	43;	20.62;	755.04;	7.82
1702;	77398;	77441;	43;	20.62;	755.15;	6.59
1703;	77441;	77492;	51;	20.63;	755.18;	6.26
1704;	77492;	77535;	43;	20.63;	755.07;	7.49
1705;	77535;	77578;	43;	20.62;	755.04;	7.82
1706;	77578;	77621;	43;	20.63;	755.07;	7.49
1707;	77621;	77675;	54;	20.62;	755.04;	7.82
1708;	77675;	77736;	61;	20.62;	755.04;	7.82
1709;	77736;	77779;	43;	20.63;	755.07;	7.49
1710;	77779;	77822;	43;	20.63;	755.18;	6.26
1711;	77822;	77865;	43;	20.62;	755.04;	7.82
1712;	77865;	77908;	43;	20.62;	755.04;	7.82
1713;	77908;	77951;	43;	20.63;	755.07;	7.49
1714;	77951;	77994;	43;	20.63;	755.18;	6.26
1715;	77994;	78045;	51;	20.62;	755.04;	7.82
1716;	78045;	78088;	43;	20.63;	755.18;	6.26
1717;	78088;	78131;	43;	20.63;	755.18;	6.26
1718;	78131;	78174;	43;	20.63;	755.18;	6.26
1719;	78174;	78217;	43;	20.63;	755.18;	6.26
1720;	78217;	78260;	43;	20.63;	754.96;	8.72
1721;	78260;	78303;	43;	20.63;	755.07;	7.49
1722;	78303;	78346;	43;	20.63;	755.07;	7.49
1723;	78346;	78389;	43;	20.63;	755.07;	7.49
1724;	78389;	78462;	73;	20.63;	755.07;	7.49
1725;	78462;	78505;	43;	20.63;	755.07;	7.49
1726;	78505;	78556;	51;	20.65;	755.10;	7.15
1727;	78556;	78599;	43;	20.63;	754.96;	8.72
1728;	78599;	78642;	43;	20.63;	755.07;	7.49
1729;	78642;	78685;	43;	20.65;	754.99;	8.38
1730;	78685;	78728;	43;	20.65;	755.10;	7.15
1731;	78728;	78771;	43;	20.65;	755.10;	7.15
1732;	78771;	78814;	43;	20.65;	755.10;	7.15
1733;	78814;	78857;	43;	20.65;	755.10;	7.15
1734;	78857;	78900;	43;	20.65;	755.10;	7.15
1735;	78900;	78943;	43;	20.65;	754.99;	8.38
1736;	78943;	78986;	43;	20.65;	754.99;	8.38
1737;	78986;	79037;	51;	20.65;	754.99;	8.38
1738;	79037;	79080;	43;	20.67;	755.14;	6.70
1739;	79080;	79123;	43;	20.67;	755.02;	8.05
1740;	79123;	79166;	43;	20.65;	754.99;	8.38
1741;	79166;	79254;	88;	20.65;	754.99;	8.38
1742;	79254;	79297;	43;	20.67;	755.02;	8.05
1743;	79297;	79340;	43;	20.65;	754.99;	8.38
1744;	79340;	79383;	43;	20.65;	754.99;	8.38
1745;	79383;	79426;	43;	20.67;	755.14;	6.70
1746;	79426;	79469;	43;	20.67;	755.02;	8.05
1747;	79469;	79512;	43;	20.67;	754.91;	9.27
1748;	79512;	79555;	43;	20.67;	754.91;	9.27
1749;	79555;	79606;	51;	20.67;	755.02;	8.05
1750;	79606;	79649;	43;	20.67;	755.02;	8.05
1751;	79649;	79692;	43;	20.69;	755.06;	7.60
1752;	79692;	79735;	43;	20.67;	755.02;	8.05
1753;	79735;	79778;	43;	20.67;	754.91;	9.27
1754;	79778;	79821;	43;	20.67;	755.02;	8.05
1755;	79821;	79864;	43;	20.67;	754.91;	9.27
1756;	79864;	79907;	43;	20.69;	755.06;	7.60
1757;	79907;	79967;	60;	20.69;	755.06;	7.60
1758;	79967;	80022;	55;	20.67;	754.91;	9.27
1759;	80022;	80065;	43;	20.69;	755.06;	7.60
1760;	80065;	80148;	83;	20.69;	755.06;	7.60
1761;	80148;	80191;	43;	20.69;	754.95;	8.83
1762;	80191;	80234;	43;	20.69;	754.95;	8.83
1763;	80234;	80277;	43;	20.69;	755.06;	7.60
1764;	80277;	80320;	43;	20.69;	755.06;	7.60
1765;	80320;	80363;	43;	20.69;	755.06;	7.60
1766;	80363;	80406;	43;	20.69;	754.95;	8.83
1767;	80406;	80449;	43;	20.70;	754.98;	8.49
1768;	80449;	80492;	43;	20.70;	754.98;	8.49
1769;	80492;	80535;	43;	20.69;	754.95;	8.83
1770;	80535;	80578;	43;	20.69;	755.06;	7.60
1771;	80578;	80630;	52;	20.70;	755.09;	7.26
1772;	80630;	80673;	43;	20.70;	754.98;	8.49
1773;	80673;	80716;	43;	20.69;	754.95;	8.83
1774;	80716;	80776;	60;	20.70;	754.98;	8.49
1775;	80776;	80831;	55;	20.70;	754.98;	8.49
1776;	80831;	80874;	43;	20.70;	754.98;	8.49
1777;	80874;	80917;	43;	20.70;	754.98;	8.49
1778;	80917;	80960;	43;	20.70;	754.87;	9.72
1779;	80960;	81003;	43;	20.70;	754.98;	8.49
1780;	81003;	81046;	43;	20.70;	754.87;	9.72
