Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
226;	32161;	32291;	130;	0.17;	-1.02;	9.42;	0.06;	0.06;	-0.06;	0.06;	0.06;	-0.06
227;	32291;	32422;	131;	0.22;	-1.00;	9.46;	-0.13;	-0.06;	0.06;	-0.13;	-0.06;	0.06
228;	32422;	32552;	130;	0.21;	-1.04;	9.44;	-0.13;	-0.06;	0.06;	-0.13;	-0.06;	0.06
229;	32552;	32680;	128;	0.21;	-1.00;	9.43;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
230;	32680;	32817;	137;	0.23;	-1.03;	9.45;	0.00;	-0.13;	-0.06;	0.00;	-0.13;	-0.06
231;	32817;	32945;	128;	0.22;	-1.02;	9.46;	-0.13;	-0.06;	-0.19;	-0.13;	-0.13;	0.00
232;	32945;	33075;	130;	0.15;	-0.97;	9.45;	0.00;	-0.06;	-0.06;	0.00;	0.06;	-0.06
233;	33075;	33205;	130;	0.19;	-0.99;	9.42;	0.00;	-0.13;	0.06;	0.00;	-0.13;	0.06
234;	33205;	33346;	141;	0.20;	-0.97;	9.40;	0.19;	-0.06;	0.00;	0.13;	-0.06;	0.00
235;	33346;	33476;	130;	0.19;	-1.05;	9.44;	-0.06;	0.13;	0.13;	-0.06;	0.13;	0.13
236;	33476;	33606;	130;	0.23;	-0.99;	9.44;	0.06;	-0.13;	-0.06;	0.06;	-0.13;	-0.06
237;	33606;	33743;	137;	0.18;	-0.99;	9.44;	0.13;	-0.06;	0.00;	0.13;	-0.06;	0.00
238;	33743;	33887;	144;	0.21;	-1.01;	9.43;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
239;	33887;	34017;	130;	0.21;	-0.97;	9.44;	0.13;	0.00;	0.00;	0.13;	0.00;	0.00
240;	34017;	34148;	131;	0.20;	-1.02;	9.41;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
241;	34148;	34278;	130;	0.19;	-0.98;	9.46;	0.06;	0.06;	-0.06;	0.06;	0.06;	-0.06
242;	34278;	34409;	131;	0.21;	-0.99;	9.44;	0.06;	0.06;	-0.06;	0.06;	0.06;	-0.06
243;	34409;	34546;	137;	0.21;	-0.99;	9.43;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
244;	34546;	34674;	128;	0.20;	-0.98;	9.43;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
245;	34674;	34802;	128;	0.21;	-0.99;	9.45;	0.13;	0.00;	0.06;	0.13;	-0.06;	0.00
246;	34802;	34932;	130;	0.18;	-0.97;	9.43;	0.00;	0.06;	-0.06;	-0.13;	-0.06;	0.00
247;	34932;	35062;	130;	0.20;	-1.00;	9.42;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
248;	35062;	35191;	129;	0.20;	-1.00;	9.41;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
249;	35191;	35330;	139;	0.19;	-1.01;	9.45;	-0.06;	-0.13;	-0.06;	-0.06;	-0.13;	-0.06
250;	35330;	35459;	129;	0.18;	-1.00;	9.44;	0.06;	0.00;	0.06;	0.06;	0.00;	0.06
251;	35459;	35598;	139;	0.20;	-1.00;	9.43;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
252;	35598;	35726;	128;	0.20;	-0.99;	9.44;	0.00;	0.00;	0.06;	-0.06;	-0.06;	0.00
253;	35726;	35855;	129;	0.18;	-1.00;	9.43;	-0.06;	0.06;	-0.06;	0.06;	-0.06;	-0.06
254;	35855;	36002;	147;	0.19;	-1.01;	9.42;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
255;	36002;	36131;	129;	0.21;	-1.02;	9.44;	0.00;	-0.19;	0.00;	0.00;	-0.19;	0.00
256;	36131;	36267;	136;	0.21;	-1.01;	9.43;	0.06;	-0.13;	-0.13;	0.00;	-0.13;	0.13
257;	36267;	36396;	129;	0.21;	-1.02;	9.43;	0.00;	0.19;	-0.06;	0.00;	0.19;	-0.06
258;	36396;	36526;	130;	0.18;	-1.01;	9.44;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
259;	36526;	36657;	131;	0.20;	-1.01;	9.43;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
260;	36657;	36787;	130;	0.18;	-1.01;	9.42;	0.06;	0.06;	-0.06;	0.06;	0.06;	-0.06
261;	36787;	36917;	130;	0.19;	-1.01;	9.44;	-0.06;	-0.06;	0.13;	-0.06;	-0.06;	0.13
262;	36917;	37085;	168;	0.20;	-0.99;	9.43;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
263;	37085;	37213;	128;	0.19;	-0.99;	9.42;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
264;	37213;	37341;	128;	0.20;	-1.00;	9.44;	0.00;	-0.06;	0.00;	-0.06;	0.00;	-0.06
265;	37341;	37470;	129;	0.19;	-0.99;	9.44;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
266;	37470;	37599;	129;	0.21;	-1.00;	9.41;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06
267;	37599;	37730;	131;	0.19;	-1.01;	9.41;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
268;	37730;	37880;	150;	0.18;	-0.99;	9.44;	0.00;	-0.13;	-0.06;	0.00;	-0.13;	-0.06
269;	37880;	38010;	130;	0.20;	-1.00;	9.44;	0.00;	0.13;	-0.13;	0.00;	0.13;	-0.13
270;	38010;	38141;	131;	0.20;	-1.01;	9.47;	-0.06;	-0.19;	-0.06;	-0.06;	-0.19;	-0.06
271;	38141;	38290;	149;	0.18;	-1.01;	9.45;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
272;	38290;	38420;	130;	0.20;	-1.01;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
273;	38420;	38548;	128;	0.19;	-1.01;	9.43;	-0.06;	0.06;	-0.13;	-0.06;	0.06;	-0.13
274;	38548;	38684;	136;	0.18;	-1.01;	9.44;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
275;	38684;	38814;	130;	0.21;	-1.01;	9.43;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
276;	38814;	38944;	130;	0.18;	-1.02;	9.45;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
277;	38944;	39075;	131;	0.20;	-0.98;	9.43;	-0.13;	0.19;	-0.13;	-0.13;	0.19;	-0.13
278;	39075;	39204;	129;	0.20;	-1.00;	9.41;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
279;	39204;	39334;	130;	0.21;	-1.01;	9.46;	-0.06;	0.06;	0.13;	-0.06;	0.06;	0.13
280;	39334;	39464;	130;	0.20;	-1.00;	9.44;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
281;	39464;	39601;	137;	0.21;	-1.01;	9.45;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
282;	39601;	39729;	128;	0.21;	-1.01;	9.45;	-0.13;	-0.06;	0.00;	0.13;	0.00;	-0.06
283;	39729;	39858;	129;	0.19;	-0.99;	9.43;	0.13;	-0.19;	0.00;	0.13;	-0.19;	0.00
284;	39858;	40000;	142;	0.20;	-0.99;	9.42;	0.06;	-0.06;	0.00;	0.00;	0.06;	0.00
285;	40000;	40129;	129;	0.20;	-1.00;	9.45;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
286;	40129;	40258;	129;	0.18;	-1.01;	9.43;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
287;	40258;	40431;	173;	0.20;	-0.99;	9.46;	-0.06;	0.06;	0.00;	-0.06;	-0.06;	-0.06
288;	40431;	40560;	129;	0.20;	-1.00;	9.42;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
289;	40560;	40691;	131;	0.20;	-1.00;	9.42;	0.06;	-0.13;	0.06;	0.06;	-0.13;	0.06
290;	40691;	40821;	130;	0.20;	-1.01;	9.42;	0.06;	0.13;	-0.06;	0.06;	0.13;	-0.06
291;	40821;	40952;	131;	0.19;	-1.00;	9.43;	0.06;	0.06;	0.00;	-0.06;	0.00;	-0.13
292;	40952;	41082;	130;	0.21;	-0.99;	9.45;	0.06;	0.00;	-0.13;	0.06;	0.00;	-0.13
293;	41082;	41219;	137;	0.20;	-1.00;	9.45;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
294;	41219;	41347;	128;	0.19;	-1.00;	9.44;	-0.06;	0.06;	0.06;	-0.06;	0.06;	0.06
295;	41347;	41475;	128;	0.19;	-1.00;	9.45;	0.06;	-0.06;	0.00;	-0.06;	0.00;	-0.06
296;	41475;	41605;	130;	0.21;	-1.00;	9.45;	0.00;	0.13;	-0.13;	-0.13;	0.06;	-0.06
297;	41605;	41735;	130;	0.21;	-1.02;	9.43;	-0.06;	0.06;	-0.13;	-0.06;	0.06;	-0.13
298;	41735;	41865;	130;	0.20;	-0.99;	9.44;	-0.06;	0.13;	-0.13;	-0.06;	0.13;	-0.13
299;	41865;	41995;	130;	0.20;	-1.01;	9.45;	-0.06;	0.00;	-0.13;	-0.06;	0.00;	-0.13
300;	41995;	42134;	139;	0.18;	-1.02;	9.44;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
301;	42134;	42273;	139;	0.21;	-0.99;	9.45;	0.00;	0.19;	-0.13;	0.00;	0.19;	-0.13
302;	42273;	42402;	129;	0.18;	-1.01;	9.44;	0.19;	0.00;	0.06;	0.19;	0.00;	0.06
303;	42402;	42530;	128;	0.20;	-0.99;	9.42;	0.06;	0.06;	0.00;	0.06;	0.06;	0.00
304;	42530;	42677;	147;	0.21;	-1.00;	9.42;	0.00;	-0.06;	-0.06;	0.00;	-0.06;	-0.06
305;	42677;	42808;	131;	0.20;	-0.99;	9.44;	-0.13;	-0.13;	0.00;	-0.13;	-0.13;	0.00
306;	42808;	42946;	138;	0.21;	-0.99;	9.44;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
307;	42946;	43075;	129;	0.19;	-1.01;	9.45;	0.13;	-0.06;	-0.13;	0.13;	-0.06;	-0.13
308;	43075;	43203;	128;	0.20;	-0.98;	9.43;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
309;	43203;	43331;	128;	0.19;	-0.99;	9.45;	0.06;	-0.13;	0.00;	0.00;	-0.06;	-0.06
310;	43331;	43461;	130;	0.19;	-1.00;	9.43;	-0.06;	0.13;	0.00;	-0.06;	0.00;	-0.06
311;	43461;	43591;	130;	0.21;	-1.01;	9.44;	0.00;	0.00;	-0.13;	0.00;	0.00;	-0.13
312;	43591;	43729;	138;	0.21;	-0.99;	9.42;	0.06;	-0.13;	-0.06;	0.06;	-0.13;	-0.06
313;	43729;	43859;	130;	0.20;	-0.99;	9.45;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
314;	43859;	43988;	129;	0.19;	-0.99;	9.46;	0.06;	0.00;	0.06;	0.06;	0.00;	0.06
315;	43988;	44116;	128;	0.20;	-1.01;	9.43;	0.00;	0.06;	-0.19;	0.00;	0.06;	-0.19
316;	44116;	44244;	128;	0.19;	-0.99;	9.41;	0.06;	-0.06;	0.00;	0.06;	-0.06;	0.00
317;	44244;	44374;	130;	0.18;	-1.00;	9.42;	-0.06;	0.13;	-0.13;	0.00;	-0.06;	0.00
318;	44374;	44524;	150;	0.21;	-1.02;	9.45;	0.13;	-0.06;	0.06;	0.13;	-0.06;	0.06
319;	44524;	44654;	130;	0.18;	-0.99;	9.46;	-0.06;	-0.13;	-0.06;	-0.06;	-0.13;	-0.06
320;	44654;	44801;	147;	0.22;	-0.99;	9.44;	-0.06;	0.13;	-0.13;	-0.06;	0.13;	-0.13
321;	44801;	44929;	128;	0.20;	-0.98;	9.43;	-0.06;	-0.06;	0.06;	-0.06;	-0.06;	0.06
322;	44929;	45057;	128;	0.20;	-1.01;	9.47;	-0.06;	0.00;	-0.06;	0.00;	0.06;	0.06
323;	45057;	45187;	130;	0.20;	-0.99;	9.43;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
324;	45187;	45317;	130;	0.20;	-1.01;	9.46;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
325;	45317;	45455;	138;	0.21;	-1.01;	9.45;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
326;	45455;	45585;	130;	0.19;	-1.00;	9.42;	-0.06;	0.13;	-0.13;	-0.06;	0.13;	-0.13
327;	45585;	45714;	129;	0.20;	-1.00;	9.43;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
328;	45714;	45842;	128;	0.21;	-0.99;	9.42;	-0.13;	-0.06;	0.00;	-0.13;	-0.06;	0.00
329;	45842;	45971;	129;	0.20;	-1.01;	9.42;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	0.06
330;	45971;	46100;	129;	0.20;	-1.00;	9.44;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
331;	46100;	46238;	138;	0.20;	-1.00;	9.42;	0.13;	-0.13;	-0.06;	0.13;	-0.13;	-0.06
332;	46238;	46368;	130;	0.20;	-1.01;	9.43;	0.19;	0.06;	-0.06;	0.19;	0.06;	-0.06
333;	46368;	46498;	130;	0.19;	-1.02;	9.44;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
334;	46498;	46636;	138;	0.22;	-1.00;	9.43;	0.06;	0.00;	0.13;	0.06;	0.00;	0.13
335;	46636;	46764;	128;	0.20;	-1.00;	9.45;	0.06;	0.06;	0.00;	0.06;	0.06;	0.00
336;	46764;	46893;	129;	0.18;	-1.01;	9.44;	0.06;	-0.13;	0.00;	-0.06;	-0.06;	-0.13
337;	46893;	47048;	155;	0.18;	-1.00;	9.46;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
338;	47048;	47176;	128;	0.21;	-0.99;	9.43;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
339;	47176;	47305;	129;	0.21;	-0.98;	9.41;	-0.13;	-0.06;	-0.06;	0.06;	0.00;	-0.13
340;	47305;	47434;	129;	0.20;	-1.01;	9.42;	0.06;	-0.13;	0.06;	0.06;	-0.13;	0.06
341;	47434;	47564;	130;	0.20;	-1.02;	9.43;	0.00;	0.00;	0.13;	0.00;	0.00;	0.13
342;	47564;	47695;	131;	0.20;	-1.01;	9.42;	-0.06;	0.13;	0.13;	-0.06;	0.13;	0.13
343;	47695;	47826;	131;	0.19;	-1.00;	9.44;	-0.13;	0.00;	0.06;	-0.13;	0.13;	-0.06
344;	47826;	47964;	138;	0.20;	-1.00;	9.44;	0.00;	0.13;	-0.06;	0.00;	0.13;	-0.06
345;	47964;	48094;	130;	0.20;	-1.01;	9.44;	0.00;	-0.25;	0.06;	0.00;	-0.25;	0.06
346;	48094;	48224;	130;	0.21;	-1.00;	9.41;	0.06;	-0.25;	0.00;	0.06;	-0.25;	0.00
347;	48224;	48353;	129;	0.19;	-1.00;	9.45;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
348;	48353;	48481;	128;	0.20;	-0.99;	9.46;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
349;	48481;	48610;	129;	0.20;	-1.01;	9.41;	-0.06;	0.00;	-0.06;	-0.06;	-0.06;	0.00
350;	48610;	48791;	181;	0.20;	-1.01;	9.43;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
351;	48791;	48932;	141;	0.20;	-1.00;	9.45;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
352;	48932;	49061;	129;	0.18;	-1.00;	9.42;	-0.06;	-0.13;	0.06;	-0.06;	-0.13;	0.00
353;	49061;	49208;	147;	0.21;	-1.00;	9.44;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
354;	49208;	49336;	128;	0.19;	-0.99;	9.39;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
355;	49336;	49464;	128;	0.19;	-0.99;	9.44;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
356;	49464;	49601;	137;	0.20;	-1.01;	9.42;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
357;	49601;	49732;	131;	0.20;	-1.00;	9.46;	0.00;	0.06;	-0.19;	0.00;	0.06;	-0.19
358;	49732;	49862;	130;	0.20;	-0.99;	9.42;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
359;	49862;	49990;	128;	0.20;	-1.01;	9.44;	-0.06;	0.31;	0.00;	-0.06;	0.31;	0.00
360;	49990;	50119;	129;	0.20;	-0.99;	9.44;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
361;	50119;	50247;	128;	0.20;	-1.00;	9.44;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
362;	50247;	50376;	129;	0.20;	-0.98;	9.45;	0.06;	-0.19;	-0.06;	0.00;	0.06;	-0.06
363;	50376;	50514;	138;	0.20;	-1.01;	9.45;	0.00;	0.19;	-0.06;	0.00;	0.19;	-0.06
364;	50514;	50643;	129;	0.20;	-1.01;	9.42;	-0.13;	0.13;	-0.06;	-0.13;	0.13;	-0.06
365;	50643;	50773;	130;	0.19;	-1.01;	9.42;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
366;	50773;	50903;	130;	0.20;	-1.00;	9.44;	0.06;	-0.06;	-0.13;	0.06;	-0.06;	-0.13
367;	50903;	51033;	130;	0.20;	-1.00;	9.46;	-0.06;	0.00;	0.00;	-0.06;	0.00;	0.00
368;	51033;	51173;	140;	0.21;	-1.02;	9.45;	-0.13;	-0.06;	-0.06;	-0.13;	-0.06;	-0.06
369;	51173;	51309;	136;	0.21;	-1.00;	9.46;	-0.06;	-0.25;	0.00;	0.06;	0.00;	-0.06
370;	51309;	51457;	148;	0.19;	-0.99;	9.41;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
371;	51457;	51588;	131;	0.20;	-1.01;	9.42;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
372;	51588;	51719;	131;	0.20;	-0.99;	9.44;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
373;	51719;	51849;	130;	0.20;	-1.01;	9.43;	0.13;	-0.06;	0.06;	0.13;	-0.06;	0.06
374;	51849;	51980;	131;	0.19;	-1.00;	9.43;	0.06;	-0.19;	0.06;	-0.06;	-0.06;	0.13
375;	51980;	52118;	138;	0.21;	-0.99;	9.45;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
376;	52118;	52246;	128;	0.20;	-1.00;	9.44;	0.00;	0.00;	0.13;	0.00;	0.00;	0.13
377;	52246;	52374;	128;	0.20;	-1.00;	9.47;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
378;	52374;	52503;	129;	0.22;	-1.02;	9.41;	0.06;	0.19;	0.06;	-0.06;	0.00;	0.00
379;	52503;	52633;	130;	0.19;	-1.00;	9.47;	0.06;	-0.06;	0.06;	0.06;	-0.25;	0.13
380;	52633;	52763;	130;	0.19;	-1.01;	9.43;	0.00;	0.13;	0.06;	0.06;	-0.13;	0.00
381;	52763;	52893;	130;	0.19;	-1.00;	9.44;	0.00;	-0.13;	-0.06;	0.00;	-0.19;	-0.13
382;	52893;	53031;	138;	0.18;	-1.01;	9.45;	0.00;	-0.13;	-0.13;	0.00;	-0.13;	-0.13
383;	53031;	53160;	129;	0.18;	-0.99;	9.44;	0.00;	0.13;	-0.06;	0.00;	0.13;	-0.06
384;	53160;	53301;	141;	0.17;	-1.01;	9.44;	0.19;	0.00;	0.00;	0.19;	0.00;	0.00
385;	53301;	53430;	129;	0.18;	-0.99;	9.43;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
386;	53430;	53576;	146;	0.18;	-1.01;	9.42;	0.00;	0.00;	0.00;	0.00;	0.00;	0.06
387;	53576;	53706;	130;	0.20;	-1.01;	9.43;	-0.19;	-0.06;	0.00;	0.00;	0.06;	0.06
388;	53706;	53844;	138;	0.18;	-1.01;	9.45;	-0.19;	0.00;	0.06;	-0.19;	0.00;	0.06
389;	53844;	53974;	130;	0.23;	-1.01;	9.44;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
390;	53974;	54102;	128;	0.21;	-0.99;	9.42;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
391;	54102;	54230;	128;	0.20;	-1.01;	9.43;	-0.06;	-0.13;	0.00;	-0.06;	-0.13;	0.00
392;	54230;	54359;	129;	0.22;	-1.00;	9.45;	0.06;	0.19;	-0.06;	0.00;	0.06;	-0.19
393;	54359;	54488;	129;	0.19;	-1.00;	9.41;	0.06;	0.00;	-0.06;	0.06;	0.00;	-0.06
394;	54488;	54627;	139;	0.19;	-0.99;	9.44;	0.06;	0.13;	0.06;	0.06;	0.13;	0.06
395;	54627;	54755;	128;	0.19;	-1.00;	9.39;	-0.06;	0.06;	0.06;	-0.06;	0.06;	0.06
396;	54755;	54883;	128;	0.21;	-1.01;	9.42;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
397;	54883;	55011;	128;	0.20;	-1.00;	9.43;	0.06;	-0.06;	0.06;	0.06;	0.00;	-0.13
398;	55011;	55141;	130;	0.20;	-1.01;	9.43;	-0.06;	-0.06;	0.00;	0.00;	0.19;	0.00
399;	55141;	55271;	130;	0.20;	-1.00;	9.44;	0.00;	0.00;	0.00;	-0.06;	-0.06;	0.00
400;	55271;	55409;	138;	0.21;	-1.01;	9.42;	-0.13;	0.06;	0.13;	-0.13;	0.06;	0.13
401;	55409;	55551;	142;	0.21;	-1.01;	9.46;	0.06;	-0.13;	0.00;	0.06;	-0.13;	0.00
402;	55551;	55681;	130;	0.20;	-1.03;	9.44;	0.06;	-0.06;	0.00;	0.06;	-0.06;	0.00
403;	55681;	55826;	145;	0.21;	-1.01;	9.44;	0.00;	0.00;	0.13;	0.00;	0.00;	0.13
404;	55826;	55954;	128;	0.20;	-1.01;	9.46;	-0.06;	0.00;	0.13;	0.00;	-0.06;	0.06
405;	55954;	56084;	130;	0.21;	-1.02;	9.44;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
406;	56084;	56214;	130;	0.21;	-1.01;	9.43;	0.19;	0.00;	0.06;	-0.13;	0.00;	0.06
407;	56214;	56352;	138;	0.19;	-1.03;	9.45;	-0.06;	0.06;	0.06;	-0.06;	0.06;	0.06
408;	56352;	56482;	130;	0.20;	-1.00;	9.45;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
409;	56482;	56610;	128;	0.21;	-1.00;	9.44;	0.00;	-0.13;	-0.06;	0.00;	-0.13;	-0.06
410;	56610;	56738;	128;	0.19;	-0.99;	9.41;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
411;	56738;	56867;	129;	0.20;	-0.99;	9.42;	-0.06;	0.00;	0.00;	-0.13;	-0.06;	0.00
412;	56867;	56997;	130;	0.19;	-0.99;	9.44;	-0.06;	0.00;	-0.06;	0.00;	0.19;	-0.19
413;	56997;	57135;	138;	0.22;	-1.01;	9.44;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
414;	57135;	57263;	128;	0.21;	-1.01;	9.42;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
415;	57263;	57391;	128;	0.19;	-0.99;	9.42;	-0.13;	0.00;	-0.06;	-0.13;	0.00;	-0.06
416;	57391;	57520;	129;	0.20;	-1.02;	9.43;	0.06;	0.25;	-0.06;	0.00;	0.00;	0.00
417;	57520;	57649;	129;	0.21;	-1.00;	9.46;	-0.13;	0.13;	0.00;	-0.13;	0.13;	0.00
418;	57649;	57791;	142;	0.20;	-1.01;	9.46;	-0.13;	-0.06;	-0.06;	-0.19;	-0.13;	-0.13
419;	57791;	57947;	156;	0.19;	-1.01;	9.41;	0.06;	0.00;	0.06;	0.06;	0.00;	0.06
420;	57947;	58075;	128;	0.19;	-1.01;	9.43;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
421;	58075;	58203;	128;	0.21;	-1.00;	9.44;	-0.06;	-0.06;	-0.13;	-0.06;	-0.06;	-0.13
422;	58203;	58332;	129;	0.20;	-1.01;	9.42;	0.06;	0.00;	-0.06;	0.00;	0.06;	0.00
423;	58332;	58462;	130;	0.19;	-1.00;	9.42;	0.00;	0.00;	-0.06;	0.00;	-0.06;	0.06
424;	58462;	58592;	130;	0.20;	-1.01;	9.45;	0.00;	0.19;	-0.19;	0.00;	0.19;	-0.19
425;	58592;	58721;	129;	0.22;	-1.00;	9.41;	0.00;	-0.13;	-0.06;	0.00;	-0.13;	-0.06
426;	58721;	58860;	139;	0.18;	-1.01;	9.46;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
427;	58860;	58989;	129;	0.21;	-0.99;	9.44;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
428;	58989;	59117;	128;	0.20;	-0.99;	9.44;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
429;	59117;	59246;	129;	0.20;	-1.01;	9.44;	0.00;	-0.13;	0.00;	-0.06;	-0.06;	0.00
430;	59246;	59376;	130;	0.22;	-1.03;	9.41;	-0.06;	0.13;	-0.06;	0.06;	0.00;	0.00
431;	59376;	59506;	130;	0.20;	-0.97;	9.49;	0.00;	-0.06;	0.00;	-0.06;	0.00;	0.06
432;	59506;	59644;	138;	0.20;	-1.00;	9.44;	-0.06;	0.13;	0.13;	-0.06;	0.13;	0.13
433;	59644;	59771;	127;	0.20;	-1.00;	9.42;	0.00;	0.06;	0.13;	0.00;	0.06;	0.13
434;	59771;	59910;	139;	0.22;	-1.03;	9.44;	0.06;	-0.06;	0.00;	0.06;	-0.06;	0.00
435;	59910;	60038;	128;	0.21;	-1.01;	9.44;	-0.06;	0.00;	0.00;	0.00;	0.06;	0.00
436;	60038;	60186;	148;	0.20;	-1.01;	9.43;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
437;	60186;	60317;	131;	0.20;	-0.99;	9.44;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
438;	60317;	60487;	170;	0.20;	-1.00;	9.43;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
439;	60487;	60618;	131;	0.19;	-1.00;	9.42;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06
440;	60618;	60749;	131;	0.20;	-1.00;	9.44;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
441;	60749;	60877;	128;	0.18;	-1.00;	9.43;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
442;	60877;	61006;	129;	0.21;	-1.00;	9.46;	0.00;	-0.19;	-0.06;	0.00;	-0.19;	-0.06
443;	61006;	61134;	128;	0.20;	-0.99;	9.39;	-0.06;	0.19;	0.00;	-0.06;	0.19;	0.00
444;	61134;	61271;	137;	0.21;	-1.00;	9.43;	0.06;	0.00;	0.06;	0.06;	0.00;	0.06
445;	61271;	61402;	131;	0.20;	-1.00;	9.44;	-0.06;	-0.13;	-0.19;	-0.06;	-0.13;	-0.19
446;	61402;	61531;	129;	0.21;	-0.99;	9.41;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
447;	61531;	61662;	131;	0.21;	-1.01;	9.44;	0.00;	-0.06;	0.13;	0.00;	-0.06;	0.13
448;	61662;	61793;	131;	0.20;	-1.01;	9.45;	0.06;	0.06;	0.06;	0.06;	0.06;	0.06
449;	61793;	61924;	131;	0.22;	-0.99;	9.45;	0.00;	-0.13;	0.00;	0.00;	-0.13;	-0.06
450;	61924;	62054;	130;	0.22;	-0.97;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
451;	62054;	62203;	149;	0.21;	-1.01;	9.43;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
452;	62203;	62365;	162;	0.20;	-1.01;	9.44;	0.00;	0.13;	-0.06;	0.00;	0.13;	-0.06
